"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
129.9k,2.476297m,100k,729.632u
163.26k,1.406614m,100.02k,346.4334u
187.98k,3.072827m,100.04k,232.6887u
235.5k,1.928759m,100.06k,614.2753u
243.38k,3.041965m,100.08k,723.1428u
250.6k,1.85687m,100.1k,741.2238u
284.56k,2.041854m,100.12k,743.0403u
303.72k,2.103579m,100.14k,742.6972u
323.64k,6.908894m,100.16k,739.7663u
331.08k,2.128424m,100.18k,733.0368u
342.22k,4.315748m,100.2k,727.5819u
358.16k,8.995125m,100.22k,724.3886u
366.26k,8.949304m,100.24k,724.8376u
403.48k,1.251911m,100.26k,728.5236u
973.6k,1.279613m,100.28k,727.1909u
,,100.3k,721.7733u
,,100.32k,717.9783u
,,100.34k,715.0491u
,,100.36k,715.1583u
,,100.38k,716.6113u
,,100.4k,710.9614u
,,100.42k,705.1455u
,,100.44k,709.866u
,,100.46k,715.2208u
,,100.48k,712.6949u
,,100.5k,709.1996u
,,100.52k,704.9593u
,,100.54k,693.5231u
,,100.56k,683.3502u
,,100.58k,683.8449u
,,100.6k,682.0833u
,,100.62k,669.945u
,,100.64k,656.0935u
,,100.66k,647.5911u
,,100.68k,645.5223u
,,100.7k,645.4635u
,,100.72k,645.9844u
,,100.74k,651.4804u
,,100.76k,659.7681u
,,100.78k,662.0804u
,,100.8k,658.0389u
,,100.82k,651.774u
,,100.84k,646.7988u
,,100.86k,649.2586u
,,100.88k,658.4056u
,,100.9k,666.7617u
,,100.92k,666.1677u
,,100.94k,653.0413u
,,100.96k,637.4036u
,,100.98k,632.2062u
,,101k,636.653u
,,101.02k,644.4131u
,,101.04k,651.684u
,,101.06k,653.139u
,,101.08k,648.4567u
,,101.1k,642.553u
,,101.12k,631.067u
,,101.14k,615.8223u
,,101.16k,611.0643u
,,101.18k,614.2617u
,,101.2k,613.6394u
,,101.22k,605.435u
,,101.24k,599.7683u
,,101.26k,602.6877u
,,101.28k,604.343u
,,101.3k,602.8154u
,,101.32k,593.901u
,,101.34k,580.3685u
,,101.36k,581.5857u
,,101.38k,589.9201u
,,101.4k,586.873u
,,101.42k,579.6394u
,,101.44k,574.3082u
,,101.46k,564.942u
,,101.48k,554.9671u
,,101.5k,554.541u
,,101.52k,561.7095u
,,101.54k,566.1008u
,,101.56k,564.4477u
,,101.58k,562.671u
,,101.6k,564.5021u
,,101.62k,563.5223u
,,101.64k,556.419u
,,101.66k,550.9236u
,,101.68k,551.2241u
,,101.7k,551.0856u
,,101.72k,547.504u
,,101.74k,544.7516u
,,101.76k,545.9675u
,,101.78k,546.027u
,,101.8k,540.3934u
,,101.82k,531.8487u
,,101.84k,524.2077u
,,101.86k,520.5472u
,,101.88k,519.4231u
,,101.9k,517.341u
,,101.92k,514.5123u
,,101.94k,514.507u
,,101.96k,516.7723u
,,101.98k,517.9655u
,,102k,521.5799u
,,102.02k,526.6421u
,,102.04k,523.9196u
,,102.06k,512.3145u
,,102.08k,503.1756u
,,102.1k,508.7558u
,,102.12k,518.1251u
,,102.14k,511.2118u
,,102.16k,493.9451u
,,102.18k,480.786u
,,102.2k,474.5671u
,,102.22k,477.213u
,,102.24k,489.8561u
,,102.26k,501.4681u
,,102.28k,505.1279u
,,102.3k,502.1434u
,,102.32k,492.7236u
,,102.34k,488.662u
,,102.36k,493.2414u
,,102.38k,496.3383u
,,102.4k,498.7078u
,,102.42k,502.1054u
,,102.44k,501.3971u
,,102.46k,497.4973u
,,102.48k,497.4258u
,,102.5k,500.9062u
,,102.52k,504.2692u
,,102.54k,510.5886u
,,102.56k,519.7059u
,,102.58k,523.4777u
