"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
863.38k,888.4796u,800k,172.9273u
941.48k,433.9366u,800.02k,82.86889u
1.04944M,543.2395u,800.04k,55.46843u
1.12028M,339.8725u,800.06k,147.2195u
1.1964M,1.142282m,800.08k,173.8006u
,,800.1k,180.0851u
,,800.12k,183.1977u
,,800.14k,182.6156u
,,800.16k,179.1201u
,,800.18k,176.0467u
,,800.2k,174.5786u
,,800.22k,174.1613u
,,800.24k,174.6625u
,,800.26k,176.5837u
,,800.28k,180.0854u
,,800.3k,180.7166u
,,800.32k,175.7976u
,,800.34k,170.6603u
,,800.36k,170.1381u
,,800.38k,172.4522u
,,800.4k,174.4976u
,,800.42k,176.5181u
,,800.44k,176.4914u
,,800.46k,173.7052u
,,800.48k,171.8756u
,,800.5k,171.4444u
,,800.52k,171.1435u
,,800.54k,172.1897u
,,800.56k,174.6754u
,,800.58k,175.7115u
,,800.6k,174.2406u
,,800.62k,172.3291u
,,800.64k,171.5019u
,,800.66k,171.0187u
,,800.68k,170.0813u
,,800.7k,168.228u
,,800.72k,166.8849u
,,800.74k,168.0973u
,,800.76k,169.9984u
,,800.78k,169.7758u
,,800.8k,168.476u
,,800.82k,168.5912u
,,800.84k,169.1927u
,,800.86k,168.9749u
,,800.88k,167.7458u
,,800.9k,165.698u
,,800.92k,165.2776u
,,800.94k,166.48u
,,800.96k,166.6839u
,,800.98k,167.4615u
,,801k,170.6019u
,,801.02k,172.9009u
,,801.04k,171.9543u
,,801.06k,168.3945u
,,801.08k,165.6239u
,,801.1k,165.6207u
,,801.12k,165.3448u
,,801.14k,164.0593u
,,801.16k,162.6545u
,,801.18k,161.8247u
,,801.2k,160.2272u
,,801.22k,156.2784u
,,801.24k,154.9048u
,,801.26k,157.5649u
,,801.28k,159.3434u
,,801.3k,159.4962u
,,801.32k,160.0613u
,,801.34k,160.801u
,,801.36k,161.3733u
,,801.38k,161.171u
,,801.4k,159.7489u
,,801.42k,158.1974u
,,801.44k,156.8572u
,,801.46k,155.481u
,,801.48k,153.9661u
,,801.5k,153.7173u
,,801.52k,155.9293u
,,801.54k,158.8313u
,,801.56k,160.8834u
,,801.58k,161.6198u
,,801.6k,160.8692u
,,801.62k,159.7683u
,,801.64k,157.6033u
,,801.66k,154.8438u
,,801.68k,155.499u
,,801.7k,158.1981u
,,801.72k,158.5921u
,,801.74k,157.9796u
,,801.76k,158.8273u
,,801.78k,158.2747u
,,801.8k,155.0241u
,,801.82k,152.4232u
,,801.84k,150.8746u
,,801.86k,150.5757u
,,801.88k,153.018u
,,801.9k,155.6825u
,,801.92k,155.0318u
,,801.94k,151.2154u
,,801.96k,148.7113u
,,801.98k,149.3729u
,,802k,151.2848u
,,802.02k,153.4506u
,,802.04k,153.1817u
,,802.06k,151.8354u
,,802.08k,151.535u
,,802.1k,149.9197u
,,802.12k,148.7437u
,,802.14k,150.1958u
,,802.16k,151.6895u
,,802.18k,150.9904u
,,802.2k,150.2425u
,,802.22k,151.2191u
,,802.24k,152.026u
,,802.26k,151.431u
,,802.28k,150.0235u
,,802.3k,148.8105u
,,802.32k,148.3153u
,,802.34k,148.8377u
,,802.36k,150.9203u
,,802.38k,152.8869u
,,802.4k,152.4251u
,,802.42k,150.2053u
,,802.44k,147.8395u
,,802.46k,145.9559u
,,802.48k,145.0129u
,,802.5k,145.7198u
,,802.52k,146.883u
,,802.54k,146.8941u
,,802.56k,145.5656u
