"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
969.38k,12.19574m,500k,207.8212u
,,500.06k,133.1451u
,,500.12k,180.4552u
,,500.18k,241.3316u
,,500.24k,245.2475u
,,500.3k,239.797u
,,500.36k,237.9769u
,,500.42k,238.3437u
,,500.48k,237.4838u
,,500.54k,233.7133u
,,500.6k,230.6419u
,,500.66k,231.564u
,,500.72k,230.1658u
,,500.78k,225.4581u
,,500.84k,226.2662u
,,500.9k,224.601u
,,500.96k,228.1657u
,,501.02k,222.1505u
,,501.08k,211.7156u
,,501.14k,205.6804u
,,501.2k,205.6604u
,,501.26k,204.3261u
,,501.32k,207.0115u
,,501.38k,198.7669u
,,501.44k,199.4822u
,,501.5k,194.8748u
,,501.56k,194.7406u
,,501.62k,185.3436u
,,501.68k,180.9571u
,,501.74k,188.578u
,,501.8k,181.1913u
,,501.86k,168.2761u
,,501.92k,173.5206u
,,501.98k,179.1546u
,,502.04k,177.4636u
,,502.1k,171.7073u
,,502.16k,163.2698u
,,502.22k,161.5687u
,,502.28k,159.0739u
,,502.34k,160.9638u
,,502.4k,161.3799u
,,502.46k,163.8574u
,,502.52k,162.7769u
,,502.58k,150.5508u
,,502.64k,156.9453u
,,502.7k,163.2639u
,,502.76k,151.2076u
,,502.82k,139.7909u
,,502.88k,135.7566u
,,502.94k,144.4655u
,,503k,145.462u
,,503.06k,138.7192u
,,503.12k,138.4699u
,,503.18k,130.5194u
,,503.24k,135.8845u
,,503.3k,131.7829u
,,503.36k,131.1751u
,,503.42k,131.7401u
,,503.48k,126.4726u
,,503.54k,128.1548u
,,503.6k,118.4776u
,,503.66k,121.2826u
,,503.72k,126.0526u
,,503.78k,126.394u
,,503.84k,122.4975u
,,503.9k,122.8852u
,,503.96k,124.7068u
,,504.02k,110.5754u
,,504.08k,108.5931u
,,504.14k,111.1309u
,,504.2k,108.1066u
,,504.26k,107.485u
