"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
932.48k,18.30081m,500k,214.69u
951.56k,6.033065m,500.06k,144.8547u
952.94k,6.032005m,500.12k,152.1788u
956.54k,6.086988m,500.18k,228.9294u
,,500.24k,213.378u
,,500.3k,216.5607u
,,500.36k,215.692u
,,500.42k,217.5915u
,,500.48k,214.8159u
,,500.54k,213.3553u
,,500.6k,214.5322u
,,500.66k,219.3832u
,,500.72k,211.0602u
,,500.78k,207.4977u
,,500.84k,202.4678u
,,500.9k,199.985u
,,500.96k,202.3132u
,,501.02k,205.9435u
,,501.08k,198.628u
,,501.14k,202.837u
,,501.2k,197.3337u
,,501.26k,192.4581u
,,501.32k,192.5356u
,,501.38k,187.6926u
,,501.44k,190.8699u
,,501.5k,188.6423u
,,501.56k,182.3777u
,,501.62k,183.0171u
,,501.68k,185.2835u
,,501.74k,180.7813u
,,501.8k,179.6359u
,,501.86k,182.8802u
,,501.92k,180.5341u
,,501.98k,174.2661u
,,502.04k,177.8084u
,,502.1k,183.3967u
,,502.16k,168.3576u
,,502.22k,166.4372u
,,502.28k,173.6363u
,,502.34k,165.5612u
,,502.4k,160.1707u
,,502.46k,162.7804u
,,502.52k,171.2469u
,,502.58k,164.8192u
,,502.64k,152.5437u
,,502.7k,160.7052u
,,502.76k,157.2152u
,,502.82k,159.4893u
,,502.88k,161.1903u
,,502.94k,158.8631u
,,503k,152.4303u
,,503.06k,151.533u
,,503.12k,155.8765u
,,503.18k,151.0088u
,,503.24k,147.1479u
,,503.3k,140.9u
,,503.36k,143.3695u
,,503.42k,146.5164u
,,503.48k,144.1109u
,,503.54k,149.0984u
,,503.6k,148.6771u
,,503.66k,148.6352u
,,503.72k,148.2139u
,,503.78k,151.7159u
,,503.84k,141.695u
,,503.9k,140.2713u
,,503.96k,137.1261u
,,504.02k,133.5234u
,,504.08k,133.1817u
,,504.14k,136.0078u
,,504.2k,133.9802u
,,504.26k,134.11u
,,504.32k,123.6822u
,,504.38k,124.9887u
,,504.44k,119.6882u
,,504.5k,125.7408u
,,504.56k,133.0596u
,,504.62k,135.4583u
,,504.68k,131.2231u
,,504.74k,129.3645u
,,504.8k,120.3889u
,,504.86k,119.3871u
,,504.92k,125.6803u
,,504.98k,122.1588u
,,505.04k,123.301u
,,505.1k,118.8212u
,,505.16k,123.0339u
,,505.22k,125.8544u
,,505.28k,122.5427u
,,505.34k,118.7255u
,,505.4k,112.3141u
,,505.46k,113.2488u
,,505.52k,111.8u
,,505.58k,110.2033u
,,505.64k,113.0611u
,,505.7k,106.5394u
,,505.76k,107.3671u
,,505.82k,108.0728u
,,505.88k,109.5983u
,,505.94k,105.8566u
,,506k,112.9916u
,,506.06k,111.6997u
,,506.12k,111.1905u
,,506.18k,109.3116u
,,506.24k,111.1129u
,,506.3k,106.5907u
,,506.36k,103.8033u
,,506.42k,100.8605u
,,506.48k,97.96828u
,,506.54k,98.57974u
,,506.6k,94.28398u
,,506.66k,97.3192u
,,506.72k,98.02681u
,,506.78k,105.1206u
,,506.84k,107.0569u
,,506.9k,105.0568u
,,506.96k,96.16413u
,,507.02k,93.93198u
,,507.08k,97.84036u
,,507.14k,99.01628u
,,507.2k,93.29754u
,,507.26k,93.65386u
,,507.32k,90.009u
,,507.38k,89.5814u
,,507.44k,91.84469u
,,507.5k,88.39933u
,,507.56k,93.12057u
,,507.62k,91.45044u
,,507.68k,90.61478u
,,507.74k,89.42643u
,,507.8k,87.35956u
,,507.86k,86.67835u
,,507.92k,85.5765u
,,507.98k,88.76021u
,,508.04k,93.83507u
,,508.1k,93.46981u
,,508.16k,87.43818u
,,508.22k,82.85936u
,,508.28k,94.7802u
,,508.34k,93.2961u
,,508.4k,86.68706u
,,508.46k,82.91903u
,,508.52k,82.03959u
,,508.58k,77.7571u
,,508.64k,86.5227u
,,508.7k,77.00383u
,,508.76k,74.17066u
,,508.82k,71.33866u
,,508.88k,73.83093u
,,508.94k,73.93538u
,,509k,74.86003u
,,509.06k,69.68881u
,,509.12k,69.51985u
,,509.18k,69.07025u
,,509.24k,67.53073u
,,509.3k,73.65649u
,,509.36k,75.69489u
,,509.42k,75.59968u
,,509.48k,73.01395u
,,509.54k,66.80897u
,,509.6k,59.01856u
,,509.66k,62.97804u
,,509.72k,71.3004u
,,509.78k,69.46362u
,,509.84k,68.00299u
,,509.9k,66.91833u
,,509.96k,68.07767u
,,510.02k,62.59199u
,,510.08k,67.5474u
,,510.14k,76.26765u
,,510.2k,67.44587u
,,510.26k,66.20162u
,,510.32k,70.15451u
,,510.38k,67.12268u
,,510.44k,65.2006u
,,510.5k,63.4235u
,,510.56k,61.44927u
,,510.62k,59.15524u
,,510.68k,57.04035u
,,510.74k,61.67443u
,,510.8k,60.40396u
,,510.86k,53.39432u
,,510.92k,54.79525u
,,510.98k,55.54469u
,,511.04k,66.3401u
,,511.1k,59.16098u
,,511.16k,58.29672u
,,511.22k,57.28926u
,,511.28k,61.61577u
,,511.34k,61.46405u
,,511.4k,65.49661u
,,511.46k,68.28277u
,,511.52k,56.92389u
,,511.58k,50.55303u
,,511.64k,55.73418u
,,511.7k,59.92951u
,,511.76k,56.71561u
,,511.82k,56.51553u
,,511.88k,51.72754u
,,511.94k,58.43404u
,,512k,55.17023u
,,512.06k,47.83077u
,,512.12k,44.68893u
,,512.18k,54.01318u
,,512.24k,54.4757u
,,512.3k,59.56177u
,,512.36k,53.73514u
,,512.42k,53.56358u
,,512.48k,50.62836u
,,512.54k,50.27742u
,,512.6k,53.23705u
,,512.66k,50.1472u
,,512.72k,46.56733u
,,512.78k,51.47349u
,,512.84k,51.96305u
,,512.9k,52.03955u
,,512.96k,50.3653u
,,513.02k,52.71431u
,,513.08k,51.99568u
,,513.14k,47.17792u
,,513.2k,48.04014u
,,513.26k,47.66035u
,,513.32k,47.10929u
,,513.38k,42.18021u
,,513.44k,42.16904u
,,513.5k,45.49422u
,,513.56k,42.96523u
,,513.62k,48.56138u
,,513.68k,47.11271u
,,513.74k,47.33057u
,,513.8k,46.39156u
,,513.86k,44.98171u
,,513.92k,41.13449u
,,513.98k,44.14244u
,,514.04k,45.28264u
,,514.1k,46.05795u
,,514.16k,48.91718u
,,514.22k,45.02596u
,,514.28k,41.88991u
,,514.34k,37.24264u
,,514.4k,38.36434u
,,514.46k,36.42085u
,,514.52k,22.56838u
,,514.58k,32.68241u
,,514.64k,35.57072u
,,514.7k,31.84154u
,,514.76k,34.17481u
,,514.82k,39.98226u
,,514.88k,38.79414u
,,514.94k,41.18532u
,,515k,36.74079u
,,515.06k,39.74868u
,,515.12k,46.3265u
,,515.18k,46.58681u
,,515.24k,46.36944u
,,515.3k,42.89445u
,,515.36k,35.80858u
,,515.42k,38.30485u
,,515.48k,36.50123u
,,515.54k,36.44342u
,,515.6k,34.67715u
,,515.66k,38.57077u
,,515.72k,38.08583u
,,515.78k,35.60907u
,,515.84k,38.62516u
,,515.9k,38.73238u
,,515.96k,36.93345u
,,516.02k,35.80002u
,,516.08k,26.7561u
,,516.14k,30.82331u
,,516.2k,40.77438u
,,516.26k,35.53365u
,,516.32k,28.01159u
,,516.38k,39.26558u
,,516.44k,41.36879u
,,516.5k,33.48279u
,,516.56k,32.01747u
,,516.62k,26.38371u
,,516.68k,26.34328u
,,516.74k,30.3142u
,,516.8k,32.15229u
,,516.86k,32.61031u
,,516.92k,28.89852u
,,516.98k,34.98489u
,,517.04k,33.7521u
,,517.1k,32.32152u
,,517.16k,32.93818u
,,517.22k,39.20762u
,,517.28k,40.13114u
,,517.34k,31.737u
,,517.4k,21.36317u
,,517.46k,27.29626u
,,517.52k,33.90001u
,,517.58k,31.32092u
,,517.64k,29.58342u
,,517.7k,31.50982u
,,517.76k,33.96631u
,,517.82k,32.22018u
,,517.88k,37.93851u
,,517.94k,37.16746u
,,518k,36.41526u
,,518.06k,32.06541u
,,518.12k,30.88707u
,,518.18k,29.89578u
,,518.24k,25.02998u
,,518.3k,27.37294u
,,518.36k,29.86911u
,,518.42k,34.79348u
,,518.48k,31.61612u
,,518.54k,31.85729u
,,518.6k,28.47506u
,,518.66k,24.38904u
,,518.72k,22.3215u
,,518.78k,27.07015u
,,518.84k,27.2568u
,,518.9k,36.78941u
,,518.96k,29.25517u
,,519.02k,25.22254u
,,519.08k,31.74634u
,,519.14k,31.33468u
,,519.2k,32.4939u
,,519.26k,24.48095u
,,519.32k,22.98611u
,,519.38k,28.26967u
,,519.44k,28.65287u
,,519.5k,24.28349u
,,519.56k,25.778u
,,519.62k,27.03043u
,,519.68k,30.9244u
,,519.74k,24.18583u
,,519.8k,17.21675u
,,519.86k,23.35132u
,,519.92k,22.30268u
,,519.98k,27.21187u
,,520.04k,25.76829u
,,520.1k,25.36967u
,,520.16k,22.76725u
,,520.22k,20.12884u
,,520.28k,21.72679u
,,520.34k,21.9049u
,,520.4k,21.70544u
,,520.46k,19.45298u
,,520.52k,22.71478u
,,520.58k,24.69588u
,,520.64k,28.62624u
,,520.7k,19.63868u
,,520.76k,19.74538u
,,520.82k,24.11957u
,,520.88k,21.89295u
,,520.94k,21.47909u
,,521k,24.77083u
,,521.06k,32.90527u
,,521.12k,24.11125u
,,521.18k,27.78445u
,,521.24k,32.89001u
,,521.3k,28.50228u
,,521.36k,30.40425u
,,521.42k,23.56736u
,,521.48k,17.41124u
,,521.54k,22.90753u
,,521.6k,29.93669u
,,521.66k,28.47802u
,,521.72k,28.04098u
,,521.78k,22.12245u
,,521.84k,22.43108u
,,521.9k,28.05212u
,,521.96k,25.52764u
,,522.02k,24.36478u
,,522.08k,23.93884u
,,522.14k,22.98126u
,,522.2k,25.24284u
,,522.26k,24.75155u
,,522.32k,27.46325u
,,522.38k,25.08821u
,,522.44k,22.32286u
,,522.5k,24.41929u
,,522.56k,26.13047u
,,522.62k,25.80902u
,,522.68k,30.38139u
,,522.74k,26.77649u
,,522.8k,20.52436u
,,522.86k,19.81744u
,,522.92k,15.36991u
,,522.98k,24.18467u
,,523.04k,20.4351u
,,523.1k,22.28792u
,,523.16k,24.92088u
,,523.22k,22.17911u
,,523.28k,17.77707u
,,523.34k,22.4741u
,,523.4k,22.69673u
,,523.46k,26.17484u
,,523.52k,29.12804u
,,523.58k,34.39945u
,,523.64k,23.90781u
,,523.7k,17.96234u
,,523.76k,17.02018u
,,523.82k,21.86473u
,,523.88k,28.87084u
,,523.94k,26.49221u
,,524k,16.32159u
,,524.06k,16.22712u
,,524.12k,17.22173u
,,524.18k,19.83425u
,,524.24k,21.7359u
,,524.3k,23.79929u
,,524.36k,27.43767u
,,524.42k,22.02719u
,,524.48k,24.72014u
,,524.54k,20.60873u
,,524.6k,11.58182u
,,524.66k,12.03453u
,,524.72k,19.37594u
,,524.78k,27.91242u
,,524.84k,22.43198u
,,524.9k,28.91018u
,,524.96k,23.00351u
,,525.02k,23.2639u
,,525.08k,20.30155u
,,525.14k,17.40467u
,,525.2k,21.24345u
,,525.26k,23.85445u
,,525.32k,28.95615u
,,525.38k,24.81156u
,,525.44k,20.99529u
,,525.5k,26.09317u
,,525.56k,27.1391u
,,525.62k,24.25656u
,,525.68k,21.07687u
,,525.74k,24.69936u
,,525.8k,22.21381u
,,525.86k,16.52817u
,,525.92k,24.81119u
,,525.98k,25.49745u
,,526.04k,28.94002u
,,526.1k,34.21508u
,,526.16k,28.71785u
,,526.22k,25.85729u
,,526.28k,30.26842u
,,526.34k,29.19021u
,,526.4k,32.63435u
,,526.46k,24.20404u
,,526.52k,17.9323u
,,526.58k,24.27548u
,,526.64k,28.83889u
,,526.7k,25.03163u
,,526.76k,32.39464u
,,526.82k,19.4853u
,,526.88k,14.71044u
,,526.94k,19.54995u
,,527k,17.06189u
,,527.06k,30.892u
,,527.12k,42.66689u
,,527.18k,42.19289u
,,527.24k,36.39755u
,,527.3k,29.44934u
,,527.36k,31.97354u
,,527.42k,19.15746u
,,527.48k,18.37323u
,,527.54k,31.30943u
,,527.6k,31.19946u
,,527.66k,26.82682u
,,527.72k,25.02153u
,,527.78k,26.0414u
,,527.84k,26.75516u
,,527.9k,23.78541u
,,527.96k,16.22397u
,,528.02k,11.92078u
,,528.08k,21.66208u
,,528.14k,23.98432u
,,528.2k,26.60994u
,,528.26k,32.06539u
,,528.32k,27.44432u
,,528.38k,26.26264u
,,528.44k,29.8316u
,,528.5k,23.19542u
,,528.56k,25.62011u
,,528.62k,28.04615u
,,528.68k,21.26134u
,,528.74k,20.70604u
,,528.8k,26.04704u
,,528.86k,35.12585u
,,528.92k,24.84836u
,,528.98k,31.8095u
,,529.04k,29.28905u
,,529.1k,31.27231u
,,529.16k,33.20803u
,,529.22k,33.4254u
,,529.28k,23.3451u
,,529.34k,22.06577u
,,529.4k,28.37987u
,,529.46k,22.89522u
,,529.52k,26.79521u
,,529.58k,31.81927u
,,529.64k,24.41992u
,,529.7k,27.44203u
,,529.76k,29.6658u
,,529.82k,33.95545u
,,529.88k,34.18092u
,,529.94k,37.07935u
,,530k,39.09218u
,,530.06k,26.94332u
,,530.12k,17.9888u
,,530.18k,18.82011u
,,530.24k,33.39011u
,,530.3k,30.74542u
,,530.36k,30.27984u
,,530.42k,39.0981u
,,530.48k,38.56u
,,530.54k,44.98422u
,,530.6k,34.14419u
,,530.66k,23.23173u
,,530.72k,34.22141u
,,530.78k,36.20714u
,,530.84k,27.8262u
,,530.9k,35.53007u
,,530.96k,42.19833u
,,531.02k,35.69391u
,,531.08k,27.31442u
,,531.14k,29.77927u
,,531.2k,35.04055u
,,531.26k,23.87286u
,,531.32k,26.35025u
,,531.38k,30.58355u
,,531.44k,37.92494u
,,531.5k,26.19827u
,,531.56k,30.75436u
,,531.62k,24.6948u
,,531.68k,26.88554u
,,531.74k,17.89398u
,,531.8k,22.21863u
,,531.86k,31.7277u
,,531.92k,34.36232u
,,531.98k,30.8028u
,,532.04k,30.36777u
,,532.1k,19.94235u
,,532.16k,31.15018u
,,532.22k,29.07896u
,,532.28k,23.03106u
,,532.34k,16.41602u
,,532.4k,21.68005u
,,532.46k,23.16654u
