"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
311.64k,1.662705m,100k,759.8441u
320.84k,2.163425m,100.02k,411.8996u
326.28k,8.613805m,100.04k,123.9518u
332.5k,3.709342m,100.06k,478.5466u
339.16k,2.950982m,100.08k,575.791u
345.38k,1.611456m,100.1k,587.0197u
353.16k,1.987497m,100.12k,582.8837u
359.5k,6.455162m,100.14k,573.7213u
362.08k,5.898312m,100.16k,570.1353u
364.58k,17.67345m,100.18k,570.5822u
371.5k,6.945301m,100.2k,568.4379u
,,100.22k,567.3624u
,,100.24k,567.5182u
,,100.26k,567.2452u
,,100.28k,563.4533u
,,100.3k,554.6084u
,,100.32k,546.9726u
,,100.34k,543.8503u
,,100.36k,543.5983u
,,100.38k,546.0514u
,,100.4k,548.2172u
,,100.42k,544.5428u
,,100.44k,538.7011u
,,100.46k,536.0128u
,,100.48k,533.5973u
,,100.5k,531.153u
,,100.52k,531.9862u
,,100.54k,533.633u
,,100.56k,532.6235u
,,100.58k,525.8098u
,,100.6k,512.8982u
,,100.62k,505.4149u
,,100.64k,508.1962u
,,100.66k,512.2666u
,,100.68k,514.7985u
,,100.7k,517.796u
,,100.72k,517.993u
,,100.74k,510.0227u
,,100.76k,497.1596u
,,100.78k,492.0275u
,,100.8k,489.3191u
,,100.82k,478.6841u
,,100.84k,472.8648u
,,100.86k,477.3501u
,,100.88k,481.5129u
,,100.9k,481.7206u
,,100.92k,481.4435u
,,100.94k,484.8069u
,,100.96k,493.6143u
,,100.98k,499.1306u
,,101k,496.6046u
,,101.02k,496.2702u
,,101.04k,505.1069u
,,101.06k,517.9179u
,,101.08k,527.8703u
,,101.1k,535.2572u
,,101.12k,538.8853u
,,101.14k,532.4668u
,,101.16k,525.2929u
,,101.18k,532.7816u
,,101.2k,543.4645u
,,101.22k,550.2737u
,,101.24k,566.0249u
,,101.26k,581.4466u
,,101.28k,584.1708u
,,101.3k,584.0816u
,,101.32k,590.3886u
,,101.34k,596.6714u
,,101.36k,597.5864u
,,101.38k,602.0544u
,,101.4k,615.5492u
,,101.42k,627.5573u
,,101.44k,634.6762u
,,101.46k,639.6208u
,,101.48k,640.3223u
,,101.5k,638.0974u
,,101.52k,630.7743u
,,101.54k,623.7763u
,,101.56k,627.0203u
,,101.58k,632.9148u
,,101.6k,633.987u
,,101.62k,636.3205u
,,101.64k,639.6809u
,,101.66k,637.4699u
,,101.68k,635.7424u
,,101.7k,639.8302u
,,101.72k,641.3384u
,,101.74k,634.7224u
,,101.76k,628.594u
,,101.78k,627.9931u
,,101.8k,624.1523u
,,101.82k,619.5799u
,,101.84k,622.3u
,,101.86k,623.7938u
,,101.88k,623.255u
,,101.9k,629.1127u
,,101.92k,630.9105u
,,101.94k,622.4498u
,,101.96k,616.4883u
,,101.98k,616.7834u
,,102k,616.0728u
,,102.02k,612.7085u
,,102.04k,610.4981u
,,102.06k,613.4278u
,,102.08k,618.019u
,,102.1k,614.4586u
,,102.12k,610.7832u
,,102.14k,612.5665u
,,102.16k,609.5034u
,,102.18k,610.0965u
,,102.2k,621.7163u
,,102.22k,634.9984u
,,102.24k,642.2805u
,,102.26k,640.0373u
,,102.28k,629.5371u
,,102.3k,622.2591u
,,102.32k,626.0828u
,,102.34k,623.6732u
,,102.36k,610.6657u
,,102.38k,601.7826u
,,102.4k,599.069u
,,102.42k,600.1429u
,,102.44k,609.7598u
,,102.46k,625.6843u
,,102.48k,631.6895u
,,102.5k,627.2615u
,,102.52k,630.5668u
,,102.54k,638.6133u
,,102.56k,640.0398u
,,102.58k,642.9726u
,,102.6k,652.3016u
,,102.62k,663.2186u
,,102.64k,671.2413u
,,102.66k,676.8007u
,,102.68k,682.5584u
,,102.7k,688.3727u
,,102.72k,695.4628u
,,102.74k,703.9027u
,,102.76k,710.6011u
,,102.78k,716.19u
,,102.8k,725.678u
,,102.82k,739.8367u
,,102.84k,752.6498u
,,102.86k,763.7587u
,,102.88k,772.4972u
,,102.9k,769.6906u
,,102.92k,761.9464u
,,102.94k,761.585u
,,102.96k,766.2423u
,,102.98k,773.6784u
,,103k,790.8896u
,,103.02k,815.6241u
,,103.04k,824.1154u
,,103.06k,810.6744u
,,103.08k,802.8301u
,,103.1k,814.8059u
,,103.12k,830.0846u
,,103.14k,833.1816u
,,103.16k,827.9019u
,,103.18k,823.0229u
,,103.2k,821.2548u
,,103.22k,818.5134u
,,103.24k,805.4508u
,,103.26k,793.6946u
,,103.28k,795.2805u
,,103.3k,794.2776u
,,103.32k,790.3991u
,,103.34k,791.5061u
,,103.36k,790.3045u
,,103.38k,783.308u
,,103.4k,773.6209u
,,103.42k,767.4061u
,,103.44k,762.8686u
,,103.46k,752.0418u
,,103.48k,745.3478u
,,103.5k,751.0317u
,,103.52k,755.6588u
,,103.54k,755.4968u
,,103.56k,752.7175u
,,103.58k,743.739u
,,103.6k,735.6379u
,,103.62k,730.2388u
,,103.64k,721.533u
