"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.34k,712.0704u,100k,759.0524u
120.08k,709.1198u,100.02k,400.2934u
289.64k,1.069378m,100.04k,142.4436u
292.46k,1.106417m,100.06k,494.7626u
300.6k,889.8858u,100.08k,595.2177u
305.56k,1.744091m,100.1k,613.6917u
310.42k,1.324495m,100.12k,614.284u
311.56k,1.364489m,100.14k,609.0864u
315.12k,3.016513m,100.16k,604.6945u
329.6k,10.7314m,100.18k,604.1961u
339.02k,1.438656m,100.2k,605.9733u
345.52k,982.485u,100.22k,608.9611u
352.66k,1.000757m,100.24k,610.1241u
362.34k,1.543687m,100.26k,603.274u
365.82k,2.040898m,100.28k,593.6728u
,,100.3k,589.5066u
,,100.32k,589.4951u
,,100.34k,593.2424u
,,100.36k,598.2142u
,,100.38k,598.2548u
,,100.4k,595.7883u
,,100.42k,599.586u
,,100.44k,603.6748u
,,100.46k,596.7674u
,,100.48k,585.0763u
,,100.5k,578.5589u
,,100.52k,580.8602u
,,100.54k,587.2456u
,,100.56k,587.5663u
,,100.58k,575.9392u
,,100.6k,562.287u
,,100.62k,558.8102u
,,100.64k,556.6556u
,,100.66k,549.2546u
,,100.68k,542.4792u
,,100.7k,538.1222u
,,100.72k,541.1907u
,,100.74k,551.9588u
,,100.76k,555.1194u
,,100.78k,544.3015u
,,100.8k,527.3326u
,,100.82k,515.934u
,,100.84k,516.3479u
,,100.86k,519.291u
,,100.88k,516.8561u
,,100.9k,511.4959u
,,100.92k,506.9048u
,,100.94k,504.5416u
,,100.96k,501.1062u
,,100.98k,492.3559u
,,101k,486.8669u
,,101.02k,490.7864u
,,101.04k,485.059u
,,101.06k,466.4342u
,,101.08k,456.577u
,,101.1k,455.2671u
,,101.12k,449.9825u
,,101.14k,446.1351u
,,101.16k,451.2264u
,,101.18k,459.0824u
,,101.2k,458.0881u
,,101.22k,449.9871u
,,101.24k,440.8049u
,,101.26k,428.4483u
,,101.28k,417.3395u
,,101.3k,413.6059u
,,101.32k,416.5817u
,,101.34k,417.1195u
,,101.36k,413.5327u
,,101.38k,415.8041u
,,101.4k,418.4202u
,,101.42k,410.7115u
,,101.44k,397.5657u
,,101.46k,390.5483u
,,101.48k,387.1822u
,,101.5k,381.948u
,,101.52k,379.6429u
,,101.54k,377.2271u
,,101.56k,372.5107u
,,101.58k,371.6082u
,,101.6k,370.9815u
,,101.62k,364.6319u
,,101.64k,360.7946u
,,101.66k,363.7528u
,,101.68k,366.577u
,,101.7k,369.4281u
,,101.72k,377.4948u
,,101.74k,386.0057u
,,101.76k,389.4479u
,,101.78k,396.5213u
,,101.8k,410.3341u
,,101.82k,421.0568u
,,101.84k,429.3249u
,,101.86k,441.4709u
,,101.88k,457.037u
,,101.9k,474.5387u
,,101.92k,492.9223u
,,101.94k,510.5814u
,,101.96k,527.8135u
,,101.98k,547.2333u
