"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
924.08k,17.53482m,500k,79.51864u
974.42k,26.99169m,500.06k,34.62613u
,,500.12k,160.4883u
,,500.18k,218.2568u
,,500.24k,225.0369u
,,500.3k,221.999u
,,500.36k,215.126u
,,500.42k,210.859u
,,500.48k,205.6023u
,,500.54k,205.5332u
,,500.6k,211.7118u
,,500.66k,209.8078u
,,500.72k,201.9416u
,,500.78k,199.4253u
,,500.84k,209.1256u
,,500.9k,214.3706u
,,500.96k,202.3368u
,,501.02k,194.2147u
,,501.08k,194.0312u
,,501.14k,201.9614u
,,501.2k,200.1474u
,,501.26k,192.4841u
,,501.32k,202.0535u
,,501.38k,195.9739u
,,501.44k,193.787u
,,501.5k,195.0713u
,,501.56k,187.7101u
,,501.62k,186.4023u
,,501.68k,179.1324u
,,501.74k,187.4438u
,,501.8k,185.6027u
,,501.86k,182.9015u
,,501.92k,186.4875u
,,501.98k,181.7908u
,,502.04k,178.5756u
,,502.1k,178.7675u
,,502.16k,172.8813u
,,502.22k,176.8801u
,,502.28k,182.9104u
,,502.34k,177.6785u
,,502.4k,170.2037u
,,502.46k,172.5055u
,,502.52k,173.1397u
,,502.58k,173.9751u
,,502.64k,168.2608u
,,502.7k,168.997u
,,502.76k,160.6978u
,,502.82k,169.4528u
,,502.88k,163.661u
,,502.94k,159.7157u
,,503k,166.1459u
,,503.06k,160.7902u
,,503.12k,156.4211u
,,503.18k,158.8799u
,,503.24k,164.0214u
,,503.3k,159.5204u
,,503.36k,166.6778u
,,503.42k,162.8892u
,,503.48k,162.7609u
,,503.54k,152.7356u
,,503.6k,154.7451u
,,503.66k,157.8223u
,,503.72k,147.7383u
,,503.78k,146.9274u
,,503.84k,156.9906u
,,503.9k,154.3935u
,,503.96k,146.7796u
,,504.02k,148.0123u
,,504.08k,152.1453u
,,504.14k,144.2832u
,,504.2k,141.8345u
,,504.26k,139.6052u
,,504.32k,137.7688u
,,504.38k,144.8014u
,,504.44k,140.8962u
,,504.5k,133.914u
,,504.56k,140.3693u
,,504.62k,144.7584u
,,504.68k,146.8457u
,,504.74k,145.6527u
,,504.8k,145.1597u
,,504.86k,145.3223u
,,504.92k,140.9832u
,,504.98k,145.9312u
,,505.04k,132.9915u
,,505.1k,125.9476u
,,505.16k,127.4173u
,,505.22k,132.6918u
,,505.28k,140.1455u
,,505.34k,131.5641u
,,505.4k,135.6495u
,,505.46k,132.0348u
,,505.52k,122.1318u
,,505.58k,126.1448u
,,505.64k,131.8491u
,,505.7k,129.3217u
,,505.76k,131.6037u
,,505.82k,132.2069u
,,505.88k,125.3004u
,,505.94k,129.7154u
,,506k,125.5713u
,,506.06k,123.721u
,,506.12k,125.1351u
,,506.18k,127.6672u
,,506.24k,115.9104u
,,506.3k,121.6355u
,,506.36k,126.9277u
,,506.42k,123.9508u
,,506.48k,115.4483u
,,506.54k,120.5225u
,,506.6k,129.6932u
,,506.66k,119.8091u
,,506.72k,117.3618u
,,506.78k,123.1033u
,,506.84k,118.2935u
,,506.9k,119.4182u
,,506.96k,116.0588u
,,507.02k,117.6932u
,,507.08k,120.0379u
,,507.14k,114.3707u
,,507.2k,117.2123u
,,507.26k,124.4871u
,,507.32k,121.1827u
,,507.38k,116.965u
,,507.44k,109.2323u
,,507.5k,110.0615u
,,507.56k,110.4885u
,,507.62k,106.4181u
,,507.68k,114.6968u
,,507.74k,122.265u
,,507.8k,116.5037u
,,507.86k,112.9769u
,,507.92k,111.5663u
,,507.98k,111.0352u
,,508.04k,110.7015u
,,508.1k,111.341u
,,508.16k,112.4241u
,,508.22k,110.7082u
,,508.28k,108.6076u
,,508.34k,100.6681u
,,508.4k,102.4285u
,,508.46k,110.6814u
,,508.52k,108.3853u
,,508.58k,104.7861u
,,508.64k,103.8338u
,,508.7k,98.60647u
,,508.76k,107.1679u
,,508.82k,107.5173u
,,508.88k,99.19607u
,,508.94k,92.96324u
,,509k,98.06512u
,,509.06k,100.2551u
,,509.12k,101.0703u
,,509.18k,105.8887u
,,509.24k,105.5803u
,,509.3k,103.1372u
,,509.36k,98.348u
,,509.42k,99.59936u
,,509.48k,102.8868u
,,509.54k,102.7152u
,,509.6k,107.154u
,,509.66k,110.9591u
,,509.72k,107.4433u
,,509.78k,106.3846u
,,509.84k,106.5296u
,,509.9k,92.79014u
,,509.96k,98.1866u
,,510.02k,98.26384u
,,510.08k,96.97897u
,,510.14k,102.358u
,,510.2k,102.3569u
,,510.26k,105.8039u
,,510.32k,106.3934u
,,510.38k,104.5638u
,,510.44k,96.93791u
,,510.5k,94.46131u
,,510.56k,95.97325u
,,510.62k,94.09319u
,,510.68k,96.94788u
,,510.74k,94.0842u
,,510.8k,98.2443u
,,510.86k,99.84152u
,,510.92k,100.6045u
,,510.98k,91.0778u
,,511.04k,95.63409u
,,511.1k,96.13996u
,,511.16k,94.6064u
,,511.22k,103.1514u
,,511.28k,101.2628u
,,511.34k,98.15113u
,,511.4k,100.0478u
,,511.46k,95.48314u
,,511.52k,101.2858u
,,511.58k,103.8501u
,,511.64k,95.09833u
,,511.7k,93.40123u
,,511.76k,97.50881u
,,511.82k,103.2641u
,,511.88k,100.5202u
,,511.94k,99.73087u
,,512k,100.209u
,,512.06k,93.85037u
,,512.12k,93.80609u
,,512.18k,96.43083u
,,512.24k,101.8915u
,,512.3k,96.72786u
,,512.36k,102.652u
,,512.42k,93.61559u
,,512.48k,85.43871u
,,512.54k,89.92753u
,,512.6k,96.68588u
,,512.66k,95.63782u
,,512.72k,88.01463u
,,512.78k,91.60341u
,,512.84k,96.78226u
,,512.9k,91.98153u
,,512.96k,86.43126u
,,513.02k,91.57976u
,,513.08k,94.26557u
,,513.14k,90.81286u
,,513.2k,98.45857u
,,513.26k,99.31556u
,,513.32k,92.96475u
,,513.38k,86.8367u
,,513.44k,85.83055u
,,513.5k,79.34897u
,,513.56k,83.11077u
,,513.62k,86.73167u
,,513.68k,91.75817u
,,513.74k,92.49567u
,,513.8k,93.21418u
,,513.86k,97.60635u
,,513.92k,87.13403u
,,513.98k,88.7557u
,,514.04k,88.99086u
,,514.1k,90.27876u
,,514.16k,87.91994u
,,514.22k,94.09746u
,,514.28k,95.3816u
,,514.34k,93.22363u
,,514.4k,92.56341u
,,514.46k,87.94682u
,,514.52k,87.37916u
,,514.58k,87.54803u
,,514.64k,92.568u
,,514.7k,94.63476u
,,514.76k,92.98747u
,,514.82k,84.66085u
,,514.88k,88.61701u
,,514.94k,90.85337u
,,515k,90.0203u
,,515.06k,92.77731u
,,515.12k,94.31183u
,,515.18k,92.45209u
,,515.24k,87.56986u
,,515.3k,98.68471u
,,515.36k,92.74987u
,,515.42k,101.2579u
,,515.48k,100.4538u
,,515.54k,94.32147u
,,515.6k,90.78279u
,,515.66k,90.85729u
,,515.72k,91.55309u
,,515.78k,91.65025u
,,515.84k,94.63711u
,,515.9k,96.43008u
,,515.96k,97.76509u
,,516.02k,91.7312u
,,516.08k,99.46632u
,,516.14k,102.2107u
,,516.2k,98.04081u
,,516.26k,99.88033u
,,516.32k,99.40026u
,,516.38k,89.23309u
,,516.44k,96.14736u
,,516.5k,95.19674u
,,516.56k,99.67761u
,,516.62k,107.2087u
,,516.68k,105.1666u
,,516.74k,106.0623u
,,516.8k,98.72172u
