"Frequency, Hz - Peaks"	Magnitude (V) - Peaks	"Frequency, Hz - Signal"	Magnitude (V) - Signal
947.3k	81.40154m	500k	70.71799u
		500.06k	48.88954u
		500.12k	73.71037u
		500.18k	102.3635u
		500.24k	107.2455u
		500.3k	108.6201u
		500.36k	102.2358u
		500.42k	95.87689u
		500.48k	97.11322u
		500.54k	101.0998u
		500.6k	96.53946u
		500.66k	97.02549u
		500.72k	91.74579u
		500.78k	85.04066u
		500.84k	84.01877u
		500.9k	91.57072u
		500.96k	85.86777u
		501.02k	82.37054u
		501.08k	78.16758u
		501.14k	72.9477u
		501.2k	79.42139u
		501.26k	80.96011u
		501.32k	85.18268u
		501.38k	81.64643u
		501.44k	78.52637u
		501.5k	77.10194u
		501.56k	74.29832u
		501.62k	68.3756u
		501.68k	72.92529u
		501.74k	76.38875u
		501.8k	71.98144u
		501.86k	73.2148u
		501.92k	74.49632u
		501.98k	65.02619u
		502.04k	66.61689u
		502.1k	67.68542u
		502.16k	66.17611u
		502.22k	63.29784u
		502.28k	62.13725u
		502.34k	60.54089u
		502.4k	67.73029u
		502.46k	55.59787u
		502.52k	62.6164u
		502.58k	68.61393u
		502.64k	64.5568u
		502.7k	70.02709u
		502.76k	58.90823u
		502.82k	55.82627u
		502.88k	54.39613u
		502.94k	62.86529u
		503k	63.39707u
		503.06k	61.14133u
		503.12k	59.36447u
		503.18k	57.09499u
		503.24k	55.41804u
		503.3k	58.71735u
		503.36k	63.90977u
		503.42k	50.73545u
		503.48k	55.05767u
		503.54k	61.42109u
		503.6k	57.58272u
		503.66k	57.77335u
		503.72k	57.84607u
		503.78k	53.11147u
		503.84k	53.68875u
		503.9k	51.41255u
		503.96k	51.94291u
		504.02k	45.77673u
		504.08k	52.96048u
		504.14k	53.49751u
		504.2k	58.3035u
		504.26k	53.3483u
		504.32k	48.96632u
		504.38k	48.03994u
		504.44k	58.65458u
		504.5k	55.6182u
		504.56k	55.50513u
		504.62k	53.31759u
		504.68k	49.60495u
		504.74k	48.8824u
		504.8k	47.39288u
		504.86k	46.47671u
		504.92k	50.15584u
		504.98k	50.19002u
		505.04k	45.79325u
		505.1k	52.69397u
		505.16k	57.08205u
		505.22k	51.29495u
		505.28k	47.0181u
		505.34k	46.12241u
		505.4k	51.56048u
		505.46k	45.31604u
		505.52k	49.65342u
		505.58k	56.25723u
		505.64k	57.44399u
		505.7k	53.14682u
		505.76k	51.28266u
		505.82k	47.17207u
		505.88k	48.9781u
		505.94k	51.25679u
		506k	47.01296u
		506.06k	51.99311u
		506.12k	57.92839u
		506.18k	55.1183u
		506.24k	56.4089u
		506.3k	44.97754u
		506.36k	42.16407u
		506.42k	44.29776u
		506.48k	53.29772u
		506.54k	54.10828u
