"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
555.44k,60.13008u,500k,243.5414u
833.42k,60.90692u,500.06k,163.7775u
834.08k,60.15578u,500.12k,162.714u
927.92k,676.6056u,500.18k,244.7493u
941.06k,65.6664u,500.24k,247.2573u
959.6k,930.0469u,500.3k,238.3586u
980.48k,67.50867u,500.36k,237.925u
982.1k,64.76575u,500.42k,231.7305u
982.94k,62.25921u,500.48k,233.2417u
984.32k,55.40219u,500.54k,234.6525u
985.52k,55.1408u,500.6k,234.9148u
1.08668M,197.7518u,500.66k,226.3271u
1.61246M,181.4004u,500.72k,230.9014u
,,500.78k,234.2274u
,,500.84k,226.5884u
,,500.9k,227.5713u
,,500.96k,230.658u
,,501.02k,221.7494u
,,501.08k,219.6386u
,,501.14k,213.7041u
,,501.2k,214.7964u
,,501.26k,213.96u
,,501.32k,212.3748u
,,501.38k,218.7978u
,,501.44k,221.801u
,,501.5k,208.799u
,,501.56k,209.6768u
,,501.62k,209.3581u
,,501.68k,202.5836u
,,501.74k,204.2572u
,,501.8k,210.2989u
,,501.86k,196.871u
,,501.92k,196.7289u
,,501.98k,192.7401u
,,502.04k,196.0142u
,,502.1k,195.0111u
,,502.16k,191.0559u
,,502.22k,186.865u
,,502.28k,184.4732u
,,502.34k,182.1696u
,,502.4k,187.8542u
,,502.46k,182.4502u
,,502.52k,184.4936u
,,502.58k,186.8184u
,,502.64k,180.1264u
,,502.7k,182.1505u
,,502.76k,174.7779u
,,502.82k,173.2031u
,,502.88k,176.04u
,,502.94k,179.2355u
,,503k,176.9534u
,,503.06k,179.1303u
,,503.12k,177.6157u
,,503.18k,172.5167u
,,503.24k,167.5191u
,,503.3k,171.6459u
,,503.36k,169.2191u
,,503.42k,165.2937u
,,503.48k,157.8677u
,,503.54k,155.1892u
,,503.6k,153.5945u
,,503.66k,154.3798u
,,503.72k,153.3436u
,,503.78k,156.3747u
,,503.84k,150.8002u
,,503.9k,159.2925u
,,503.96k,149.4019u
,,504.02k,150.3853u
,,504.08k,160.7452u
,,504.14k,156.1883u
,,504.2k,153.7556u
,,504.26k,150.2872u
,,504.32k,147.8916u
,,504.38k,146.9866u
,,504.44k,147.5382u
,,504.5k,148.6919u
,,504.56k,147.4081u
,,504.62k,141.3442u
,,504.68k,136.2311u
,,504.74k,135.6078u
,,504.8k,140.917u
,,504.86k,138.0973u
,,504.92k,138.2835u
,,504.98k,122.1991u
,,505.04k,129.1275u
,,505.1k,135.7543u
,,505.16k,130.6358u
,,505.22k,128.7993u
,,505.28k,129.2584u
,,505.34k,129.0457u
,,505.4k,128.6721u
,,505.46k,134.3425u
,,505.52k,131.2725u
,,505.58k,126.547u
,,505.64k,131.1628u
,,505.7k,121.9814u
,,505.76k,125.0099u
,,505.82k,121.6011u
,,505.88k,116.6692u
,,505.94k,114.2519u
,,506k,113.7263u
,,506.06k,117.6389u
,,506.12k,119.3762u
,,506.18k,121.0189u
,,506.24k,113.0407u
,,506.3k,109.2311u
,,506.36k,111.9732u
,,506.42k,117.4633u
,,506.48k,117.7509u
,,506.54k,109.5875u
,,506.6k,116.3879u
,,506.66k,115.3139u
,,506.72k,108.7902u
,,506.78k,107.0738u
,,506.84k,107.879u
,,506.9k,109.2394u
,,506.96k,107.0979u
,,507.02k,106.5056u
,,507.08k,108.1506u
,,507.14k,100.758u
,,507.2k,96.2383u
,,507.26k,92.99893u
,,507.32k,94.03289u
,,507.38k,97.58806u
,,507.44k,93.40087u
,,507.5k,98.63171u
,,507.56k,104.4747u
,,507.62k,96.22317u
,,507.68k,94.65161u
,,507.74k,92.03445u
,,507.8k,97.75012u
,,507.86k,94.61796u
,,507.92k,100.3059u
,,507.98k,100.8077u
,,508.04k,94.49112u
,,508.1k,92.56429u
,,508.16k,95.62152u
,,508.22k,91.1633u
,,508.28k,98.30088u
,,508.34k,93.00571u
,,508.4k,95.49088u
,,508.46k,94.06627u
,,508.52k,89.88537u
,,508.58k,89.61542u
,,508.64k,87.93947u
,,508.7k,86.40051u
,,508.76k,86.33856u
,,508.82k,87.69113u
,,508.88k,88.13132u
,,508.94k,84.1055u
,,509k,82.24534u
,,509.06k,84.00238u
,,509.12k,81.43676u
,,509.18k,85.09056u
,,509.24k,83.78471u
,,509.3k,83.69048u
,,509.36k,78.28946u
,,509.42k,76.67258u
,,509.48k,70.47964u
,,509.54k,67.9565u
,,509.6k,72.1271u
,,509.66k,76.01273u
,,509.72k,81.15132u
,,509.78k,77.0028u
,,509.84k,71.5691u
,,509.9k,71.52856u
,,509.96k,73.1421u
,,510.02k,77.72465u
,,510.08k,77.52776u
,,510.14k,79.06395u
,,510.2k,76.58659u
,,510.26k,70.90352u
,,510.32k,68.7464u
,,510.38k,73.4397u
,,510.44k,74.32739u
,,510.5k,69.83091u
,,510.56k,61.67806u
,,510.62k,65.24351u
,,510.68k,70.58823u
,,510.74k,67.55254u
,,510.8k,59.96885u
,,510.86k,61.53543u
,,510.92k,67.35883u
,,510.98k,74.73293u
,,511.04k,71.95811u
