 Ni alloy A dsa  7/25/2017               
 2 0 12 15  0.109400  1.00 1 0 0 0 0 0 0 0 0 0
  0.500000  0.160000
  0.350000  0.310000  0.300000
  0.000000  0.283724 1.00
  0.000000  0.338779 1.00
  0.000000  0.383354 1.00
  0.000000  0.388594 1.00
  0.000000  0.413018 1.00
  0.000000  0.420034 1.00
  0.000000  0.443765 1.00
  0.000000  0.447968 1.00
  0.000000  0.458649 1.00
  0.000000  0.476149 1.00
  0.000000  0.483124 1.00
  0.000000  0.490287 1.00
  0.000000  0.496487 1.00
  0.000000  0.505883 1.00
  0.000000  0.522589 1.00
