 LANL RPRcode Ver. 6.0
 Ni alloy A dsa  7/25/2017               
free moduli are  c11, c44
using 12 order polynomials    mass=  0.1094 gm  rho= 3.361 gm/cc
 
 n     fex      fr      %err  wt   k   i    df/d(moduli)
  1 1.000000 0.283724 -71.63 1.00  4   1  0.00  1.00
  2 1.000000 0.338779 -66.12 1.00  4   2  0.00  1.00
  3 1.000000 0.383354 -61.66 1.00  6   2  0.11  0.89
  4 1.000000 0.388594 -61.14 1.00  7   2  0.12  0.88
  5 1.000000 0.413018 -58.70 1.00  3   2  0.02  0.98
  6 1.000000 0.420034 -58.00 1.00  2   2  0.02  0.98
  7 1.000000 0.443765 -55.62 1.00  8   2  0.01  0.99
  8 1.000000 0.447968 -55.20 1.00  1   2  0.05  0.95
  9 1.000000 0.458649 -54.14 1.00  5   1  0.02  0.98
 10 1.000000 0.476149 -52.39 1.00  6   3  0.37  0.63
 11 1.000000 0.483124 -51.69 1.00  5   2  0.01  0.99
 12 1.000000 0.490287 -50.97 1.00  8   3  0.19  0.81
 13 1.000000 0.496487 -50.35 1.00  7   3  0.34  0.66
 14 1.000000 0.505883 -49.41 1.00  5   3  0.00  1.00
 15 1.000000 0.522589 -47.74 1.00  2   3  0.19  0.81
 
Bulk Modulus=    0.2867
 
   c11     c22     c33     c23     c13     c12     c44     c55     c66
 0.50000 0.50000 0.50000 0.18000 0.18000 0.18000 0.16000 0.16000 0.16000
 
   d1       d2       d3
  0.35000  0.31000  0.30000
