"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
881.22k,24.38946m,800k,270.069u
960.76k,32.66297m,800.02k,73.03767u
,,800.04k,237.7013u
,,800.06k,438.3807u
,,800.08k,493.944u
,,800.1k,503.7362u
,,800.12k,507.3688u
,,800.14k,506.3102u
,,800.16k,503.2563u
,,800.18k,503.5884u
,,800.2k,503.9117u
,,800.22k,499.6297u
,,800.24k,495.444u
,,800.26k,493.7637u
,,800.28k,491.4921u
,,800.3k,488.5831u
,,800.32k,486.0062u
,,800.34k,484.7083u
,,800.36k,485.1312u
,,800.38k,484.7709u
,,800.4k,481.9419u
,,800.42k,478.1488u
,,800.44k,473.8347u
,,800.46k,469.5462u
,,800.48k,467.8897u
,,800.5k,468.2384u
,,800.52k,467.9835u
,,800.54k,466.779u
,,800.56k,465.5746u
,,800.58k,464.9914u
,,800.6k,464.479u
,,800.62k,462.3711u
,,800.64k,459.6614u
,,800.66k,460.4059u
,,800.68k,462.3876u
,,800.7k,461.2338u
,,800.72k,458.9719u
,,800.74k,456.556u
,,800.76k,452.9046u
,,800.78k,448.6438u
,,800.8k,444.7737u
,,800.82k,442.702u
,,800.84k,442.5754u
,,800.86k,441.0193u
,,800.88k,438.0694u
,,800.9k,436.6094u
,,800.92k,435.5742u
,,800.94k,434.7576u
,,800.96k,433.8032u
,,800.98k,431.7054u
,,801k,428.4946u
,,801.02k,425.7492u
,,801.04k,426.1743u
,,801.06k,426.6979u
,,801.08k,425.4215u
,,801.1k,425.0783u
,,801.12k,423.0639u
,,801.14k,419.4378u
,,801.16k,418.7741u
,,801.18k,418.2441u
,,801.2k,415.6045u
,,801.22k,413.1534u
,,801.24k,410.6428u
,,801.26k,408.2009u
,,801.28k,406.2393u
,,801.3k,404.4354u
,,801.32k,403.5642u
,,801.34k,402.8909u
,,801.36k,401.9182u
,,801.38k,401.3792u
,,801.4k,400.0462u
,,801.42k,397.5394u
,,801.44k,395.7337u
,,801.46k,395.1068u
,,801.48k,394.772u
,,801.5k,393.6502u
,,801.52k,391.2272u
,,801.54k,388.2426u
,,801.56k,386.5111u
,,801.58k,384.8687u
,,801.6k,380.6872u
,,801.62k,377.3669u
,,801.64k,376.8235u
,,801.66k,375.6107u
,,801.68k,374.2486u
,,801.7k,373.8492u
,,801.72k,371.3842u
,,801.74k,367.8874u
,,801.76k,366.8375u
,,801.78k,367.0858u
,,801.8k,365.3894u
,,801.82k,361.4541u
,,801.84k,358.4184u
,,801.86k,357.6024u
,,801.88k,358.5819u
,,801.9k,359.6695u
,,801.92k,357.4635u
,,801.94k,352.5385u
,,801.96k,349.7516u
,,801.98k,351.6499u
,,802k,353.7437u
,,802.02k,351.4019u
,,802.04k,346.4336u
,,802.06k,341.9269u
,,802.08k,339.691u
,,802.1k,339.8178u
,,802.12k,340.893u
,,802.14k,340.6772u
,,802.16k,338.6922u
,,802.18k,337.6335u
,,802.2k,337.2295u
,,802.22k,335.7581u
,,802.24k,334.5928u
,,802.26k,335.0001u
,,802.28k,335.1084u
,,802.3k,333.5147u
,,802.32k,331.4493u
,,802.34k,328.9852u
,,802.36k,326.2671u
,,802.38k,325.5136u
,,802.4k,327.0126u
,,802.42k,327.2405u
,,802.44k,324.5658u
,,802.46k,321.8851u
,,802.48k,321.5095u
,,802.5k,321.4379u
,,802.52k,319.6902u
,,802.54k,318.2037u
,,802.56k,317.1249u
,,802.58k,314.3213u
,,802.6k,311.5675u
,,802.62k,309.8779u
,,802.64k,308.7416u
,,802.66k,308.8715u
,,802.68k,309.3062u
,,802.7k,309.3129u
,,802.72k,308.489u
,,802.74k,306.9712u
,,802.76k,305.9159u
,,802.78k,304.7709u
,,802.8k,303.0402u
,,802.82k,301.4575u
,,802.84k,298.9348u
,,802.86k,295.316u
,,802.88k,294.0084u
,,802.9k,294.7473u
,,802.92k,294.8112u
,,802.94k,294.9502u
,,802.96k,295.0456u
,,802.98k,294.1757u
,,803k,292.2745u
,,803.02k,289.4492u
,,803.04k,286.4036u
,,803.06k,284.7637u
,,803.08k,284.7365u
,,803.1k,284.1833u
,,803.12k,282.1218u
,,803.14k,279.0251u
,,803.16k,276.6183u
,,803.18k,276.0083u
,,803.2k,276.6917u
,,803.22k,276.9208u
,,803.24k,274.7221u
,,803.26k,271.3652u
,,803.28k,270.0704u
,,803.3k,271.535u
,,803.32k,272.4718u
,,803.34k,270.5177u
,,803.36k,266.7913u
,,803.38k,264.0465u
,,803.4k,264.3549u
,,803.42k,265.6543u
,,803.44k,264.6585u
,,803.46k,262.8887u
,,803.48k,263.2013u
,,803.5k,262.8001u
,,803.52k,260.5168u
,,803.54k,259.239u
,,803.56k,259.4392u
,,803.58k,259.7939u
,,803.6k,258.1166u
,,803.62k,253.5003u
,,803.64k,248.6434u
,,803.66k,246.5169u
,,803.68k,246.0778u
,,803.7k,245.8586u
,,803.72k,246.7475u
