"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.26k,686.6621u,100k,734.2225u
103.2k,665.1099u,100.02k,331.3829u
106.06k,1.097856m,100.04k,278.7151u
106.48k,1.109118m,100.06k,683.4306u
110.02k,538.4429u,100.08k,793.6944u
111.72k,685.2733u,100.1k,803.1122u
123.78k,903.8445u,100.12k,807.1311u
150.68k,1.574258m,100.14k,816.7036u
155.32k,700.1219u,100.16k,820.9668u
276.52k,755.9967u,100.18k,815.5894u
285.58k,876.5152u,100.2k,802.1772u
290.1k,715.8843u,100.22k,788.9699u
294.12k,712.4862u,100.24k,784.0723u
295.76k,694.564u,100.26k,783.991u
303.06k,683.4539u,100.28k,783.4752u
312.14k,3.087204m,100.3k,785.8994u
324.54k,7.763061m,100.32k,791.4987u
331.52k,1.539061m,100.34k,795.2307u
337.12k,903.8072u,100.36k,791.7004u
341.74k,1.035697m,100.38k,782.6403u
348.84k,1.290431m,100.4k,774.2142u
354.34k,576.5078u,100.42k,768.6335u
358.92k,706.6508u,100.44k,768.7429u
361.12k,722.593u,100.46k,771.4596u
363.42k,715.6654u,100.48k,769.9163u
,,100.5k,762.5868u
,,100.52k,752.6598u
,,100.54k,746.424u
,,100.56k,744.3851u
,,100.58k,744.7364u
,,100.6k,745.9162u
,,100.62k,744.299u
,,100.64k,739.3611u
,,100.66k,731.3845u
,,100.68k,723.4289u
,,100.7k,722.4044u
,,100.72k,727.3602u
,,100.74k,728.6464u
,,100.76k,724.5419u
,,100.78k,721.7615u
,,100.8k,722.5664u
,,100.82k,726.3804u
,,100.84k,730.7614u
,,100.86k,730.6097u
,,100.88k,725.7691u
,,100.9k,719.6836u
,,100.92k,714.968u
,,100.94k,714.3695u
,,100.96k,719.1798u
,,100.98k,726.9866u
,,101k,731.8064u
,,101.02k,726.0874u
,,101.04k,714.0762u
,,101.06k,710.0881u
,,101.08k,716.3658u
,,101.1k,724.1848u
,,101.12k,722.3717u
,,101.14k,708.0617u
,,101.16k,698.1799u
,,101.18k,702.5995u
,,101.2k,707.4515u
,,101.22k,707.134u
,,101.24k,704.7337u
,,101.26k,696.6796u
,,101.28k,686.8732u
,,101.3k,680.8154u
,,101.32k,676.787u
,,101.34k,681.3521u
,,101.36k,696.4488u
,,101.38k,703.9132u
,,101.4k,700.6388u
,,101.42k,697.8324u
,,101.44k,693.0645u
,,101.46k,684.2168u
,,101.48k,675.1561u
,,101.5k,669.2745u
,,101.52k,669.5862u
,,101.54k,674.384u
,,101.56k,675.635u
,,101.58k,674.1213u
,,101.6k,673.5985u
,,101.62k,669.1289u
,,101.64k,663.2188u
,,101.66k,660.8469u
,,101.68k,662.4391u
,,101.7k,666.5955u
,,101.72k,667.6835u
,,101.74k,666.4013u
,,101.76k,667.6218u
,,101.78k,667.6273u
,,101.8k,666.4717u
,,101.82k,670.3563u
,,101.84k,674.6982u
,,101.86k,670.4841u
,,101.88k,660.225u
,,101.9k,655.6521u
,,101.92k,659.4805u
,,101.94k,664.5481u
,,101.96k,667.9951u
,,101.98k,669.9887u
,,102k,669.2854u
,,102.02k,666.643u
,,102.04k,664.7882u
,,102.06k,662.3182u
,,102.08k,656.5698u
,,102.1k,655.7183u
,,102.12k,663.1001u
,,102.14k,669.9924u
,,102.16k,674.2597u
,,102.18k,674.6574u
,,102.2k,674.3425u
,,102.22k,678.9982u
,,102.24k,684.8987u
,,102.26k,686.6621u
,,102.28k,684.5777u
,,102.3k,681.5558u
,,102.32k,674.8353u
,,102.34k,663.7055u
,,102.36k,653.9149u
,,102.38k,654.2365u
,,102.4k,660.6116u
,,102.42k,659.3504u
,,102.44k,655.7871u
,,102.46k,658.6985u
,,102.48k,664.3369u
,,102.5k,665.7247u
,,102.52k,662.2108u
,,102.54k,659.192u
,,102.56k,654.2445u
,,102.58k,645.0499u
,,102.6k,637.4256u
,,102.62k,633.0436u
,,102.64k,632.4958u
,,102.66k,640.5833u
,,102.68k,655.9732u
,,102.7k,664.9611u
,,102.72k,663.7019u
,,102.74k,663.3169u
,,102.76k,662.6424u
,,102.78k,659.5307u
,,102.8k,659.0763u
,,102.82k,657.4987u
,,102.84k,653.7045u
,,102.86k,653.5456u
,,102.88k,651.0305u
,,102.9k,645.3938u
,,102.92k,645.5684u
,,102.94k,642.5987u
,,102.96k,631.9268u
,,102.98k,626.0199u
,,103k,626.3965u
,,103.02k,625.5408u
,,103.04k,625.9374u
,,103.06k,634.0236u
,,103.08k,643.6208u
,,103.1k,644.919u
,,103.12k,645.4519u
,,103.14k,652.4139u
,,103.16k,658.7965u
,,103.18k,661.5432u
,,103.2k,665.1099u
,,103.22k,665.4944u
,,103.24k,655.6175u
,,103.26k,645.279u
