"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
925.04k,747.7532u,500k,209.6475u
934.28k,1.291091m,500.06k,137.7954u
943.04k,475.3194u,500.12k,157.6074u
954.98k,706.8745u,500.18k,230.5198u
955.64k,705.53u,500.24k,228.0424u
969.2k,622.7684u,500.3k,221.0067u
,,500.36k,225.75u
,,500.42k,220.8799u
,,500.48k,221.2724u
,,500.54k,221.6299u
,,500.6k,214.9725u
,,500.66k,215.9765u
,,500.72k,218.7945u
,,500.78k,208.9092u
,,500.84k,213.8039u
,,500.9k,216.1628u
,,500.96k,218.1592u
,,501.02k,218.5419u
,,501.08k,206.9379u
,,501.14k,200.4701u
,,501.2k,198.988u
,,501.26k,191.1067u
,,501.32k,192.9621u
,,501.38k,192.9583u
,,501.44k,189.9921u
,,501.5k,187.9147u
,,501.56k,190.1521u
,,501.62k,192.7134u
,,501.68k,188.9294u
,,501.74k,180.8722u
,,501.8k,181.769u
,,501.86k,192.1719u
,,501.92k,193.8946u
,,501.98k,192.3065u
,,502.04k,189.5474u
,,502.1k,177.5754u
,,502.16k,174.97u
,,502.22k,183.6093u
,,502.28k,179.9401u
,,502.34k,174.4581u
,,502.4k,179.8409u
,,502.46k,177.7887u
,,502.52k,171.6975u
,,502.58k,169.7099u
,,502.64k,170.5885u
,,502.7k,169.6296u
,,502.76k,168.5914u
,,502.82k,163.0234u
,,502.88k,163.2225u
,,502.94k,161.1758u
,,503k,165.009u
,,503.06k,164.9343u
,,503.12k,155.1918u
,,503.18k,160.515u
,,503.24k,161.6944u
,,503.3k,155.5074u
,,503.36k,158.2093u
,,503.42k,160.9493u
,,503.48k,163.4604u
,,503.54k,156.337u
,,503.6k,151.6532u
,,503.66k,145.3119u
,,503.72k,149.4286u
,,503.78k,156.1034u
,,503.84k,151.4692u
,,503.9k,146.2636u
,,503.96k,144.9348u
,,504.02k,145.1687u
,,504.08k,144.3654u
,,504.14k,147.4153u
,,504.2k,135.1028u
,,504.26k,134.7872u
,,504.32k,132.9106u
,,504.38k,134.5686u
,,504.44k,140.3557u
,,504.5k,136.4921u
,,504.56k,136.4527u
,,504.62k,131.8625u
,,504.68k,143.0054u
,,504.74k,135.9331u
,,504.8k,133.0637u
,,504.86k,130.5708u
,,504.92k,135.1281u
,,504.98k,136.0026u
,,505.04k,135.4059u
,,505.1k,133.2077u
,,505.16k,130.2138u
,,505.22k,123.772u
,,505.28k,125.6203u
,,505.34k,126.1984u
