"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.82k,1.076518m,100k,758.0133u
122.64k,871.4449u,100.02k,420.991u
128.72k,755.2328u,100.04k,105.6245u
185.28k,535.3782u,100.06k,436.6485u
241.7k,888.2851u,100.08k,535.9847u
243.14k,827.5439u,100.1k,557.9721u
284.22k,676.1504u,100.12k,562.3802u
286.82k,504.7973u,100.14k,556.7221u
296.12k,748.7728u,100.16k,547.3663u
300.46k,599.9556u,100.18k,541.7032u
319.3k,2.73773m,100.2k,537.6918u
324.06k,6.805412m,100.22k,528.8008u
337.1k,1.220267m,100.24k,518.4215u
343.06k,2.684886m,100.26k,515.3854u
360.74k,5.298519m,100.28k,521.8177u
365.58k,2.320884m,100.3k,524.4487u
972.1k,868.7293u,100.32k,517.4907u
975.5k,523.5458u,100.34k,513.7892u
,,100.36k,514.1147u
,,100.38k,507.0547u
,,100.4k,497.5554u
,,100.42k,496.8718u
,,100.44k,492.0968u
,,100.46k,478.8532u
,,100.48k,474.1468u
,,100.5k,475.2042u
,,100.52k,469.4933u
,,100.54k,459.6917u
,,100.56k,457.5226u
,,100.58k,459.7898u
,,100.6k,453.8383u
,,100.62k,443.3031u
,,100.64k,442.07u
,,100.66k,450.3372u
,,100.68k,450.1959u
,,100.7k,437.5113u
,,100.72k,429.9781u
,,100.74k,429.5194u
,,100.76k,424.0231u
,,100.78k,411.205u
,,100.8k,402.6735u
,,100.82k,404.6683u
,,100.84k,403.0313u
,,100.86k,392.3291u
,,100.88k,382.8912u
,,100.9k,379.3016u
,,100.92k,376.8657u
,,100.94k,374.2876u
,,100.96k,374.702u
,,100.98k,373.4326u
,,101k,367.3283u
,,101.02k,364.8478u
,,101.04k,360.7175u
,,101.06k,344.3075u
,,101.08k,326.899u
,,101.1k,321.4053u
,,101.12k,330.2714u
,,101.14k,345.1007u
,,101.16k,347.239u
,,101.18k,333.1217u
,,101.2k,323.9756u
,,101.22k,324.45u
,,101.24k,311.7755u
,,101.26k,292.2459u
,,101.28k,284.2941u
,,101.3k,280.488u
,,101.32k,277.9931u
,,101.34k,284.328u
,,101.36k,291.2531u
,,101.38k,293.6084u
,,101.4k,296.8147u
,,101.42k,294.218u
,,101.44k,279.9846u
,,101.46k,263.2501u
,,101.48k,258.0393u
,,101.5k,261.9734u
,,101.52k,258.3912u
,,101.54k,249.4137u
,,101.56k,246.141u
,,101.58k,240.7816u
,,101.6k,233.4638u
,,101.62k,231.5165u
,,101.64k,233.0616u
,,101.66k,232.9965u
,,101.68k,225.9549u
,,101.7k,213.4356u
,,101.72k,205.7063u
,,101.74k,205.5485u
,,101.76k,207.6379u
,,101.78k,208.0486u
,,101.8k,206.0152u
,,101.82k,205.6625u
,,101.84k,209.5065u
,,101.86k,215.0049u
,,101.88k,216.8391u
,,101.9k,215.1933u
,,101.92k,219.0814u
,,101.94k,228.0075u
,,101.96k,232.6993u
,,101.98k,237.6176u
,,102k,251.2152u
,,102.02k,267.6024u
,,102.04k,278.1382u
,,102.06k,286.1683u
,,102.08k,299.4946u
,,102.1k,319.0222u
,,102.12k,336.3877u
,,102.14k,350.258u
,,102.16k,370.929u
,,102.18k,392.0846u
,,102.2k,404.4013u
,,102.22k,420.4607u
,,102.24k,449.4083u
,,102.26k,484.1864u
,,102.28k,517.2858u
,,102.3k,543.0927u
,,102.32k,563.7028u
,,102.34k,587.0851u
,,102.36k,616.7006u
,,102.38k,649.7446u
,,102.4k,682.6922u
,,102.42k,716.5585u
,,102.44k,747.9325u
,,102.46k,775.2143u
,,102.48k,807.2757u
,,102.5k,848.7426u
,,102.52k,885.7135u
,,102.54k,906.8026u
,,102.56k,923.4121u
,,102.58k,942.6215u
,,102.6k,963.2612u
,,102.62k,985.3945u
,,102.64k,1.004899m
,,102.66k,1.019793m
,,102.68k,1.028314m
,,102.7k,1.037305m
,,102.72k,1.052157m
,,102.74k,1.062555m
,,102.76k,1.066518m
,,102.78k,1.070546m
,,102.8k,1.074988m
,,102.82k,1.076518m
,,102.84k,1.070082m
,,102.86k,1.058376m
,,102.88k,1.048554m
,,102.9k,1.042423m
,,102.92k,1.035263m
,,102.94k,1.024569m
,,102.96k,1.019523m
,,102.98k,1.021806m
,,103k,1.021759m
,,103.02k,1.014476m
,,103.04k,999.7627u
,,103.06k,982.5555u
,,103.08k,971.6292u
,,103.1k,958.889u
,,103.12k,938.9202u
,,103.14k,926.9163u
,,103.16k,921.822u
,,103.18k,914.3261u
,,103.2k,902.4651u
,,103.22k,886.7328u
,,103.24k,871.7347u
,,103.26k,862.1492u
,,103.28k,859.2947u
,,103.3k,857.6509u
,,103.32k,854.291u
,,103.34k,849.0992u
,,103.36k,841.9374u
,,103.38k,833.7445u
,,103.4k,823.0204u
,,103.42k,811.1228u
,,103.44k,803.2347u
,,103.46k,800.4033u
,,103.48k,795.0978u
,,103.5k,785.9164u
,,103.52k,779.3535u
,,103.54k,771.2557u
,,103.56k,756.4053u
,,103.58k,745.2288u
,,103.6k,747.5929u
,,103.62k,749.1833u
,,103.64k,734.5144u
,,103.66k,719.584u
,,103.68k,715.1079u
,,103.7k,709.0773u
,,103.72k,698.6894u
,,103.74k,684.443u
,,103.76k,669.9833u
,,103.78k,664.145u
,,103.8k,666.6295u
,,103.82k,669.6196u
,,103.84k,663.144u
,,103.86k,651.2502u
,,103.88k,645.4434u
,,103.9k,641.2108u
,,103.92k,636.1593u
,,103.94k,632.1117u
,,103.96k,624.1326u
,,103.98k,611.4067u
,,104k,603.7391u
,,104.02k,603.5987u
,,104.04k,594.7982u
,,104.06k,582.3737u
,,104.08k,586.6048u
,,104.1k,596.1476u
,,104.12k,595.0919u
,,104.14k,589.4898u
,,104.16k,585.342u
,,104.18k,581.5233u
,,104.2k,571.2645u
,,104.22k,551.4421u
,,104.24k,532.6169u
,,104.26k,519.882u
,,104.28k,507.9269u
,,104.3k,498.0191u
,,104.32k,494.3121u
,,104.34k,496.2109u
,,104.36k,501.078u
,,104.38k,506.5703u
,,104.4k,507.1043u
,,104.42k,500.6466u
,,104.44k,493.6225u
,,104.46k,487.598u
,,104.48k,477.1004u
,,104.5k,464.6605u
,,104.52k,459.8878u
,,104.54k,462.4945u
,,104.56k,465.5673u
,,104.58k,463.0633u
,,104.6k,459.508u
,,104.62k,466.0279u
,,104.64k,474.7526u
,,104.66k,472.9964u
,,104.68k,462.2415u
,,104.7k,454.5993u
,,104.72k,456.5304u
,,104.74k,453.1563u
,,104.76k,440.3706u
,,104.78k,432.8617u
,,104.8k,429.1288u
,,104.82k,424.2234u
,,104.84k,421.5105u
,,104.86k,417.7629u
,,104.88k,411.5183u
,,104.9k,407.8492u
,,104.92k,411.086u
,,104.94k,411.8891u
,,104.96k,404.7278u
,,104.98k,402.1662u
,,105k,397.1794u
,,105.02k,382.945u
,,105.04k,371.9394u
,,105.06k,367.6478u
,,105.08k,365.4821u
,,105.1k,365.0722u
,,105.12k,372.0577u
,,105.14k,377.6644u
,,105.16k,373.6266u
,,105.18k,371.9909u
,,105.2k,371.8731u
,,105.22k,366.8483u
,,105.24k,365.5891u
,,105.26k,365.936u
,,105.28k,363.8588u
,,105.3k,362.4249u
,,105.32k,358.0696u
,,105.34k,353.6156u
,,105.36k,349.632u
,,105.38k,339.6424u
,,105.4k,327.7314u
,,105.42k,322.8278u
,,105.44k,321.7201u
,,105.46k,314.206u
,,105.48k,306.5535u
,,105.5k,312.6109u
,,105.52k,323.8179u
,,105.54k,322.4726u
,,105.56k,315.5972u
