"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.7k,1.252443m,100k,772.389u
118.2k,608.725u,100.02k,429.8745u
119.88k,513.7529u,100.04k,96.27302u
122.68k,1.192884m,100.06k,435.9358u
128.24k,765.2572u,100.08k,528.0398u
242.96k,675.3545u,100.1k,534.3333u
243.94k,620.9446u,100.12k,529.4074u
285.88k,832.2508u,100.14k,527.6541u
287.82k,820.0365u,100.16k,524.525u
301.82k,1.241942m,100.18k,520.2225u
313.52k,536.0213u,100.2k,520.8039u
316.26k,703.9893u,100.22k,518.6254u
318.88k,804.1228u,100.24k,509.919u
320.74k,940.9311u,100.26k,505.8219u
325.4k,4.315035m,100.28k,503.8037u
338.42k,1.191264m,100.3k,498.1343u
340.22k,1.210314m,100.32k,494.6546u
344.36k,2.444808m,100.34k,494.7868u
354.96k,1.338928m,100.36k,493.5716u
360.3k,5.744509m,100.38k,486.9288u
361.96k,7.87888m,100.4k,481.4063u
367.58k,4.01893m,100.42k,480.7256u
372.04k,2.124049m,100.44k,476.5081u
375.72k,1.210384m,100.46k,471.4239u
423.92k,504.6203u,100.48k,473.5677u
436.38k,594.4629u,100.5k,479.791u
569.34k,712.6925u,100.52k,483.0378u
974.76k,1.118388m,100.54k,478.3098u
,,100.56k,466.7365u
,,100.58k,454.8616u
,,100.6k,448.7063u
,,100.62k,443.552u
,,100.64k,433.4713u
,,100.66k,427.2918u
,,100.68k,431.137u
,,100.7k,437.9764u
,,100.72k,441.074u
,,100.74k,437.3363u
,,100.76k,425.4676u
,,100.78k,409.7839u
,,100.8k,403.1123u
,,100.82k,407.7135u
,,100.84k,407.2262u
,,100.86k,398.7481u
,,100.88k,397.1136u
,,100.9k,404.2505u
,,100.92k,407.2231u
,,100.94k,403.1285u
,,100.96k,392.5127u
,,100.98k,377.9644u
,,101k,371.4722u
,,101.02k,364.6422u
,,101.04k,353.7323u
,,101.06k,352.3131u
,,101.08k,353.0434u
,,101.1k,344.9506u
,,101.12k,338.2816u
,,101.14k,338.7498u
,,101.16k,331.7961u
,,101.18k,323.7851u
,,101.2k,319.2099u
,,101.22k,309.1511u
,,101.24k,306.7368u
,,101.26k,310.3593u
,,101.28k,305.9086u
,,101.3k,294.5275u
,,101.32k,282.8292u
,,101.34k,275.4369u
,,101.36k,277.7434u
,,101.38k,286.9651u
,,101.4k,286.4483u
,,101.42k,275.3661u
,,101.44k,264.6467u
,,101.46k,254.7097u
,,101.48k,247.0233u
,,101.5k,243.7374u
,,101.52k,243.8922u
,,101.54k,249.4562u
,,101.56k,255.332u
,,101.58k,250.3098u
,,101.6k,235.7346u
,,101.62k,223.8241u
,,101.64k,219.2028u
,,101.66k,217.8141u
,,101.68k,219.9862u
,,101.7k,226.3817u
,,101.72k,230.3667u
,,101.74k,232.8018u
,,101.76k,239.4129u
,,101.78k,246.7733u
,,101.8k,250.3928u
,,101.82k,252.9472u
,,101.84k,259.0095u
,,101.86k,267.5941u
,,101.88k,278.4253u
,,101.9k,293.8499u
,,101.92k,308.0685u
,,101.94k,316.595u
,,101.96k,324.832u
,,101.98k,337.4362u
,,102k,354.0579u
,,102.02k,372.9527u
,,102.04k,398.4611u
,,102.06k,431.2417u
,,102.08k,463.2971u
,,102.1k,488.394u
,,102.12k,511.5832u
,,102.14k,543.0294u
,,102.16k,572.619u
,,102.18k,592.3022u
,,102.2k,617.734u
,,102.22k,656.0585u
,,102.24k,697.4724u
,,102.26k,738.1238u
,,102.28k,780.5337u
,,102.3k,818.2031u
,,102.32k,844.0881u
,,102.34k,867.9276u
,,102.36k,904.5437u
,,102.38k,951.4582u
,,102.4k,993.777u
,,102.42k,1.024524m
,,102.44k,1.04515m
,,102.46k,1.07171m
,,102.48k,1.111243m
,,102.5k,1.139521m
,,102.52k,1.158007m
,,102.54k,1.183833m
,,102.56k,1.203603m
,,102.58k,1.210606m
,,102.6k,1.217866m
,,102.62k,1.230033m
,,102.64k,1.23841m
,,102.66k,1.241945m
,,102.68k,1.247747m
,,102.7k,1.252443m
,,102.72k,1.25018m
,,102.74k,1.244649m
,,102.76k,1.241435m
,,102.78k,1.238397m
,,102.8k,1.232794m
,,102.82k,1.22535m
,,102.84k,1.216444m
,,102.86k,1.206977m
,,102.88k,1.193744m
,,102.9k,1.173162m
,,102.92k,1.1519m
,,102.94k,1.137766m
,,102.96k,1.127565m
,,102.98k,1.118908m
,,103k,1.109235m
,,103.02k,1.097963m
,,103.04k,1.091022m
,,103.06k,1.083542m
,,103.08k,1.072913m
,,103.1k,1.057082m
,,103.12k,1.040069m
,,103.14k,1.035088m
,,103.16k,1.033789m
,,103.18k,1.025997m
,,103.2k,1.014692m
,,103.22k,997.943u
,,103.24k,976.5162u
,,103.26k,959.8929u
,,103.28k,950.2622u
,,103.3k,942.6739u
,,103.32k,932.8717u
,,103.34k,919.8818u
,,103.36k,910.3215u
,,103.38k,905.016u
,,103.4k,895.4165u
,,103.42k,881.6892u
,,103.44k,867.7053u
,,103.46k,856.6712u
,,103.48k,855.8605u
,,103.5k,855.5583u
,,103.52k,838.3738u
,,103.54k,810.2377u
,,103.56k,790.3392u
,,103.58k,786.685u
,,103.6k,793.05u
,,103.62k,794.6579u
,,103.64k,782.3634u
,,103.66k,768.6883u
,,103.68k,758.3783u
,,103.7k,742.063u
,,103.72k,725.4006u
,,103.74k,716.5851u
,,103.76k,711.724u
,,103.78k,701.7615u
,,103.8k,688.726u
,,103.82k,686.8615u
,,103.84k,696.3577u
,,103.86k,699.7844u
,,103.88k,691.6067u
,,103.9k,677.9511u
,,103.92k,662.8415u
,,103.94k,653.805u
,,103.96k,650.6145u
,,103.98k,648.1708u
,,104k,648.1457u
,,104.02k,643.5509u
,,104.04k,634.0347u
,,104.06k,634.359u
,,104.08k,641.6737u
,,104.1k,642.4958u
,,104.12k,633.8676u
,,104.14k,620.2018u
,,104.16k,613.2322u
,,104.18k,609.4667u
,,104.2k,599.174u
,,104.22k,593.5338u
,,104.24k,590.7298u
,,104.26k,583.9765u
,,104.28k,582.3915u
,,104.3k,584.6008u
,,104.32k,577.536u
,,104.34k,563.2249u
,,104.36k,556.6238u
,,104.38k,554.7777u
,,104.4k,550.5373u
,,104.42k,548.418u
,,104.44k,544.9556u
,,104.46k,536.6456u
,,104.48k,527.8501u
,,104.5k,523.7356u
,,104.52k,523.6247u
,,104.54k,523.8919u
,,104.56k,526.2822u
,,104.58k,523.1045u
,,104.6k,514.4306u
,,104.62k,517.0092u
,,104.64k,531.1799u
,,104.66k,540.3873u
,,104.68k,530.3349u
,,104.7k,512.9745u
,,104.72k,509.0486u
,,104.74k,511.5033u
,,104.76k,508.5907u
,,104.78k,504.0974u
,,104.8k,496.77u
,,104.82k,485.9702u
,,104.84k,482.2277u
,,104.86k,484.3153u
,,104.88k,484.1913u
,,104.9k,481.7783u
,,104.92k,479.7072u
,,104.94k,479.0938u
,,104.96k,478.9703u
,,104.98k,478.8256u
,,105k,480.6738u
,,105.02k,482.6271u
,,105.04k,480.8761u
,,105.06k,476.3821u
,,105.08k,473.6084u
,,105.1k,476.7674u
,,105.12k,477.8549u
,,105.14k,469.6832u
,,105.16k,461.752u
,,105.18k,458.2457u
,,105.2k,455.2771u
,,105.22k,449.9511u
,,105.24k,445.4581u
,,105.26k,448.2334u
,,105.28k,450.2497u
,,105.3k,443.8901u
,,105.32k,430.3132u
,,105.34k,418.5823u
,,105.36k,422.1432u
,,105.38k,431.4774u
,,105.4k,431.765u
,,105.42k,427.5349u
,,105.44k,424.4478u
,,105.46k,415.4963u
,,105.48k,400.792u
,,105.5k,396.4569u
,,105.52k,398.8335u
,,105.54k,396.7334u
,,105.56k,393.04u
,,105.58k,388.0168u
,,105.6k,381.953u
,,105.62k,373.6077u
,,105.64k,367.7707u
,,105.66k,368.5816u
,,105.68k,363.7178u
,,105.7k,353.4615u
,,105.72k,351.2098u
,,105.74k,347.1292u
,,105.76k,330.1349u
,,105.78k,312.5091u
,,105.8k,307.9736u
,,105.82k,316.9962u
,,105.84k,324.7212u
,,105.86k,317.4447u
,,105.88k,306.1306u
,,105.9k,308.6063u
,,105.92k,318.039u
,,105.94k,316.2035u
,,105.96k,304.7487u
,,105.98k,299.6294u
,,106k,301.6715u
,,106.02k,299.8591u
,,106.04k,294.9942u
,,106.06k,297.0071u
,,106.08k,301.3232u
,,106.1k,301.3005u
,,106.12k,303.9704u
,,106.14k,302.4995u
,,106.16k,291.9985u
,,106.18k,286.6009u
,,106.2k,286.7869u
,,106.22k,285.5137u
,,106.24k,287.7441u
,,106.26k,294.9344u
,,106.28k,295.2344u
,,106.3k,286.5537u
,,106.32k,282.8016u
,,106.34k,278.3048u
,,106.36k,269.5651u
,,106.38k,267.7312u
,,106.4k,271.833u
,,106.42k,277.3313u
,,106.44k,282.4375u
,,106.46k,285.3635u
,,106.48k,284.2047u
,,106.5k,280.4966u
,,106.52k,274.9716u
,,106.54k,271.7338u
,,106.56k,271.7488u
,,106.58k,269.8698u
,,106.6k,267.8044u
,,106.62k,268.2008u
,,106.64k,269.0459u
,,106.66k,268.9947u
,,106.68k,274.322u
,,106.7k,278.5094u
,,106.72k,267.638u
,,106.74k,252.8698u
,,106.76k,250.44u
,,106.78k,259.8681u
,,106.8k,274.4094u
,,106.82k,285.8366u
,,106.84k,289.8838u
,,106.86k,294.9633u
,,106.88k,304.6466u
,,106.9k,308.8711u
,,106.92k,309.6014u
,,106.94k,312.7036u
,,106.96k,315.1545u
,,106.98k,314.2746u
,,107k,312.4341u
,,107.02k,313.6667u
,,107.04k,315.3049u
,,107.06k,316.0173u
,,107.08k,316.4342u
