"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.7k,1.130956m,100k,767.8538u
118.3k,570.3199u,100.02k,425.6595u
120.32k,596.0289u,100.04k,92.36924u
122.2k,1.034983m,100.06k,429.5472u
127.24k,548.5659u,100.08k,522.7804u
243.38k,719.6114u,100.1k,535.3018u
288.8k,785.1338u,100.12k,533.4021u
290.1k,823.5464u,100.14k,531.2093u
302.58k,1.322355m,100.16k,528.7281u
305.88k,576.0938u,100.18k,524.248u
315.78k,886.1129u,100.2k,523.2406u
320.28k,943.0183u,100.22k,523.4144u
325.74k,2.853531m,100.24k,517.143u
328.96k,3.315892m,100.26k,510.4186u
338.22k,1.07376m,100.28k,509.1343u
344.3k,1.770634m,100.3k,507.6472u
352.98k,1.726574m,100.32k,502.6851u
360.54k,4.226856m,100.34k,499.0793u
363.06k,8.992759m,100.36k,497.1337u
368.16k,7.30007m,100.38k,491.7893u
372.86k,3.344246m,100.4k,485.9146u
380.54k,749.9922u,100.42k,483.2832u
385.26k,769.9059u,100.44k,476.924u
388.3k,706.3234u,100.46k,467.6821u
424.76k,567.0794u,100.48k,468.8979u
437.46k,708.7195u,100.5k,477.3189u
569.84k,638.0954u,100.52k,478.1033u
976.46k,993.0121u,100.54k,465.5332u
,,100.56k,448.9437u
,,100.58k,440.7252u
,,100.6k,441.4825u
,,100.62k,442.8768u
,,100.64k,436.0983u
,,100.66k,428.1557u
,,100.68k,430.3121u
,,100.7k,437.1243u
,,100.72k,435.5055u
,,100.74k,421.9669u
,,100.76k,410.2806u
,,100.78k,407.5628u
,,100.8k,402.4853u
,,100.82k,394.2436u
,,100.84k,387.7718u
,,100.86k,384.0028u
,,100.88k,389.7788u
,,100.9k,401.7496u
,,100.92k,406.8375u
,,100.94k,401.1934u
,,100.96k,393.5027u
,,100.98k,393.9563u
,,101k,395.4841u
,,101.02k,387.9312u
,,101.04k,381.362u
,,101.06k,385.218u
,,101.08k,392.9756u
,,101.1k,393.5093u
,,101.12k,383.0601u
,,101.14k,374.2115u
,,101.16k,378.4999u
,,101.18k,385.1276u
