"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.64k,1.203526m,100k,772.6353u
118.28k,583.0388u,100.02k,431.4346u
120.1k,538.5505u,100.04k,86.90305u
122.62k,1.186576m,100.06k,420.1315u
127.64k,588.1443u,100.08k,512.4044u
128.52k,687.9131u,100.1k,530.8631u
243.04k,626.2075u,100.12k,532.8265u
244.18k,577.0316u,100.14k,523.4932u
286.44k,802.4069u,100.16k,511.5593u
288.04k,769.4571u,100.18k,506.8091u
301.88k,1.188401m,100.2k,510.1015u
305.38k,716.202u,100.22k,515.6825u
313.88k,511.8478u,100.24k,517.6093u
316.46k,865.9726u,100.26k,511.7231u
319.04k,754.517u,100.28k,503.7489u
320.88k,669.6792u,100.3k,499.7553u
325.74k,4.006823m,100.32k,495.5743u
337.16k,1.247231m,100.34k,490.96u
338.96k,1.176165m,100.36k,491.5894u
339.54k,1.179467m,100.38k,495.5285u
340.02k,1.188222m,100.4k,495.9032u
344.42k,2.044585m,100.42k,489.7095u
355.1k,1.19751m,100.44k,481.5708u
360.58k,5.69194m,100.46k,474.6501u
362.28k,8.096709m,100.48k,468.6236u
368.04k,4.638976m,100.5k,465.6369u
372.52k,2.335298m,100.52k,465.3698u
380.92k,585.1684u,100.54k,467.7194u
383.82k,684.5786u,100.56k,468.8965u
437k,662.0286u,100.58k,462.4778u
569.44k,716.8592u,100.6k,450.7941u
569.8k,719.0238u,100.62k,441.752u
976.36k,915.4162u,100.64k,443.2061u
,,100.66k,449.1163u
,,100.68k,443.7056u
,,100.7k,435.2122u
,,100.72k,436.6045u
,,100.74k,441.4473u
,,100.76k,443.2367u
,,100.78k,437.6575u
,,100.8k,421.9191u
,,100.82k,403.6699u
,,100.84k,396.2007u
,,100.86k,398.0299u
,,100.88k,396.7349u
,,100.9k,395.5039u
,,100.92k,404.1549u
,,100.94k,413.2755u
,,100.96k,414.2086u
,,100.98k,406.0133u
,,101k,390.1796u
,,101.02k,381.2581u
,,101.04k,375.6868u
,,101.06k,365.2201u
,,101.08k,365.4022u
,,101.1k,371.4732u
,,101.12k,364.9492u
,,101.14k,355.0364u
,,101.16k,358.4964u
,,101.18k,366.2329u
,,101.2k,356.8695u
,,101.22k,342.9065u
,,101.24k,344.9635u
,,101.26k,344.054u
,,101.28k,330.3323u
,,101.3k,315.8477u
,,101.32k,306.5188u
,,101.34k,302.0787u
,,101.36k,303.0215u
,,101.38k,312.2901u
,,101.4k,318.6165u
,,101.42k,314.6039u
,,101.44k,314.0337u
,,101.46k,322.25u
