"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
170.62k,352.4564u,100k,783.9017u
191.18k,309.9812u,100.02k,378.0503u
191.66k,316.7389u,100.04k,239.2759u
197.8k,490.3921u,100.06k,650.9282u
199.26k,483.6112u,100.08k,771.0626u
214.68k,611.7332u,100.1k,792.767u
241.72k,883.6484u,100.12k,795.5094u
247.26k,848.4623u,100.14k,793.9432u
249.54k,830.013u,100.16k,794.1553u
266.34k,1.264361m,100.18k,791.9708u
271.3k,655.6417u,100.2k,783.1391u
326.5k,8.128206m,100.22k,770.1002u
354.02k,602.8546u,100.24k,758.6365u
961.04k,307.3203u,100.26k,755.1916u
,,100.28k,756.9732u
,,100.3k,756.3314u
,,100.32k,753.6182u
,,100.34k,749.6714u
,,100.36k,740.1093u
,,100.38k,729.504u
,,100.4k,731.0382u
,,100.42k,745.7486u
,,100.44k,757.1101u
,,100.46k,753.8827u
,,100.48k,743.2093u
,,100.5k,731.4128u
,,100.52k,721.9858u
,,100.54k,720.2185u
,,100.56k,721.7173u
,,100.58k,722.5727u
,,100.6k,727.6387u
,,100.62k,730.7591u
,,100.64k,723.716u
,,100.66k,721.2114u
,,100.68k,721.9977u
,,100.7k,715.4468u
,,100.72k,715.9459u
,,100.74k,721.3494u
,,100.76k,715.2827u
,,100.78k,708.1843u
,,100.8k,716.2173u
,,100.82k,728.3861u
,,100.84k,723.7274u
,,100.86k,709.9691u
,,100.88k,708.7402u
,,100.9k,713.667u
,,100.92k,705.8117u
,,100.94k,684.5329u
,,100.96k,670.0026u
,,100.98k,673.7186u
,,101k,687.6591u
,,101.02k,700.8819u
,,101.04k,704.4847u
,,101.06k,698.3358u
,,101.08k,695.1897u
,,101.1k,696.6347u
,,101.12k,691.0654u
,,101.14k,685.3344u
,,101.16k,680.2474u
,,101.18k,668.7416u
,,101.2k,658.8566u
,,101.22k,659.4707u
,,101.24k,667.4377u
,,101.26k,671.2037u
,,101.28k,667.4348u
,,101.3k,662.1037u
,,101.32k,660.9885u
,,101.34k,662.0469u
,,101.36k,661.1812u
,,101.38k,659.337u
,,101.4k,660.347u
,,101.42k,662.4875u
,,101.44k,655.53u
,,101.46k,639.3316u
,,101.48k,626.574u
,,101.5k,626.0839u
,,101.52k,634.4374u
,,101.54k,641.4987u
,,101.56k,649.1522u
,,101.58k,655.3328u
,,101.6k,653.1892u
,,101.62k,649.0147u
,,101.64k,642.0096u
,,101.66k,638.754u
,,101.68k,649.6185u
,,101.7k,661.1328u
,,101.72k,661.2153u
,,101.74k,648.4077u
,,101.76k,630.754u
,,101.78k,623.8813u
,,101.8k,626.2986u
,,101.82k,632.2368u
,,101.84k,642.756u
