"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.72k,1.080678m,100k,766.8956u
120.68k,650.9047u,100.02k,426.0058u
122.08k,965.4648u,100.04k,94.11992u
243.5k,669.8704u,100.06k,437.3202u
288.84k,859.4613u,100.08k,531.0421u
289.12k,857.5556u,100.1k,538.6313u
290.2k,867.987u,100.12k,538.5454u
302.52k,1.085025m,100.14k,541.1737u
306.16k,604.7142u,100.16k,539.6605u
316k,784.4898u,100.18k,535.2473u
320.74k,950.6286u,100.2k,534.1811u
325.82k,3.356207m,100.22k,532.4093u
329.3k,3.450455m,100.24k,524.5329u
338.22k,1.235056m,100.26k,514.0718u
344.42k,1.628336m,100.28k,505.3942u
350.12k,1.046974m,100.3k,497.8649u
353.46k,1.614548m,100.32k,494.2001u
360.68k,5.765086m,100.34k,495.7655u
363.5k,9.798115m,100.36k,494.6226u
368.18k,9.155503m,100.38k,490.0326u
373k,3.918772m,100.4k,487.3792u
380.94k,674.9997u,100.42k,484.5605u
385.44k,865.1237u,100.44k,478.9286u
437.62k,694.5848u,100.46k,471.8935u
976.98k,857.8136u,100.48k,463.5397u
,,100.5k,457.9061u
,,100.52k,458.4706u
,,100.54k,456.6702u
,,100.56k,450.7752u
,,100.58k,451.7959u
,,100.6k,455.5145u
,,100.62k,449.8694u
,,100.64k,444.1635u
,,100.66k,439.9108u
,,100.68k,428.5549u
,,100.7k,422.4292u
,,100.72k,429.2938u
,,100.74k,437.2345u
,,100.76k,436.2597u
,,100.78k,430.6462u
,,100.8k,430.2982u
,,100.82k,428.7258u
,,100.84k,417.674u
,,100.86k,404.2652u
,,100.88k,396.3598u
,,100.9k,393.5486u
,,100.92k,390.166u
,,100.94k,391.3928u
,,100.96k,402.0756u
,,100.98k,407.2128u
,,101k,407.609u
,,101.02k,409.6521u
,,101.04k,402.8383u
,,101.06k,391.7906u
,,101.08k,384.1211u
,,101.1k,378.391u
,,101.12k,380.2414u
,,101.14k,390.9036u
,,101.16k,403.6207u
,,101.18k,406.5588u
,,101.2k,399.1055u
,,101.22k,398.9775u
,,101.24k,404.1196u
,,101.26k,401.61u
,,101.28k,392.7676u
,,101.3k,383.1874u
,,101.32k,385.3294u
,,101.34k,393.3744u
,,101.36k,389.6615u
,,101.38k,387.1178u
,,101.4k,389.119u
,,101.42k,382.9947u
,,101.44k,373.3057u
,,101.46k,368.5321u
,,101.48k,373.8303u
,,101.5k,377.1257u
,,101.52k,369.4464u
,,101.54k,362.9427u
,,101.56k,356.1932u
,,101.58k,347.1905u
,,101.6k,345.4318u
,,101.62k,345.9087u
,,101.64k,340.7028u
,,101.66k,334.9299u
,,101.68k,335.038u
,,101.7k,339.9931u
,,101.72k,344.2333u
,,101.74k,345.5885u
,,101.76k,345.5623u
,,101.78k,345.6664u
,,101.8k,346.1334u
,,101.82k,347.2195u
,,101.84k,350.8434u
,,101.86k,357.5487u
,,101.88k,365.0237u
,,101.9k,369.4302u
,,101.92k,372.6462u
,,101.94k,379.4904u
,,101.96k,387.6462u
,,101.98k,395.524u
,,102k,407.3832u
,,102.02k,422.5031u
,,102.04k,437.9013u
,,102.06k,451.5356u
,,102.08k,465.5658u
,,102.1k,481.399u
,,102.12k,493.2781u
,,102.14k,508.4014u
,,102.16k,535.5108u
,,102.18k,562.8202u
,,102.2k,583.7481u
,,102.22k,605.9676u
,,102.24k,636.2672u
,,102.26k,670.2419u
,,102.28k,698.4366u
,,102.3k,728.0422u
,,102.32k,764.2817u
,,102.34k,793.9535u
,,102.36k,813.926u
,,102.38k,835.8891u
,,102.4k,862.684u
,,102.42k,890.5972u
,,102.44k,917.5338u
,,102.46k,939.974u
,,102.48k,957.051u
,,102.5k,971.9339u
,,102.52k,989.7858u
,,102.54k,1.010449m
,,102.56k,1.030567m
,,102.58k,1.047965m
,,102.6k,1.06059m
,,102.62k,1.066975m
,,102.64k,1.066989m
,,102.66k,1.067365m
,,102.68k,1.074348m
,,102.7k,1.080775m
,,102.72k,1.080678m
,,102.74k,1.076964m
,,102.76k,1.073723m
,,102.78k,1.0725m
,,102.8k,1.066775m
,,102.82k,1.05352m
,,102.84k,1.042733m
,,102.86k,1.039198m
,,102.88k,1.031248m
,,102.9k,1.018479m
,,102.92k,1.011574m
,,102.94k,1.008565m
,,102.96k,1.002595m
,,102.98k,991.7185u
,,103k,977.9656u
,,103.02k,965.3167u
,,103.04k,957.6279u
,,103.06k,953.959u
,,103.08k,951.5125u
,,103.1k,945.1714u
,,103.12k,929.3806u
,,103.14k,909.2844u
,,103.16k,894.0837u
,,103.18k,887.0978u
,,103.2k,886.9447u
,,103.22k,883.1178u
,,103.24k,873.2222u
,,103.26k,867.5965u
,,103.28k,861.5759u
,,103.3k,854.3429u
,,103.32k,849.2806u
,,103.34k,836.9405u
,,103.36k,822.7345u
,,103.38k,815.0792u
,,103.4k,806.9463u
,,103.42k,796.1057u
,,103.44k,792.2022u
,,103.46k,797.9637u
,,103.48k,798.4823u
,,103.5k,788.6701u
,,103.52k,778.4779u
,,103.54k,768.2858u
,,103.56k,755.1021u
,,103.58k,746.3935u
,,103.6k,742.9039u
,,103.62k,735.1045u
