"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.72k,1.200895m,100k,759.0087u
117.9k,506.6625u,100.02k,418.7299u
122.92k,1.013017m,100.04k,110.4653u
128.44k,773.3704u,100.06k,443.1964u
185.44k,471.5711u,100.08k,533.2851u
242.2k,855.5625u,100.1k,539.9218u
243.22k,782.1361u,100.12k,532.5349u
284.72k,708.5641u,100.14k,526.8118u
287.08k,614.734u,100.16k,521.5506u
295.16k,668.8658u,100.18k,518.7369u
296.24k,669.1585u,100.2k,519.6979u
301.4k,887.1313u,100.22k,517.5774u
319.76k,2.045575m,100.24k,517.8734u
324.22k,6.094711m,100.26k,517.7752u
337.84k,1.163608m,100.28k,507.9937u
343.46k,2.663488m,100.3k,493.9585u
359.58k,4.769162m,100.32k,482.1672u
361.08k,5.907683m,100.34k,474.373u
366.32k,2.678562m,100.36k,471.3518u
375.1k,1.32905m,100.38k,474.3682u
385.68k,525.2391u,100.4k,479.5076u
423.42k,460.871u,100.42k,477.145u
568.52k,519.94u,100.44k,469.7507u
973.06k,997.8297u,100.46k,468.9995u
,,100.48k,468.4169u
,,100.5k,460.6115u
,,100.52k,455.0216u
,,100.54k,453.3336u
,,100.56k,446.4242u
,,100.58k,437.3143u
,,100.6k,434.2367u
,,100.62k,432.8798u
,,100.64k,430.813u
,,100.66k,433.3088u
,,100.68k,432.5763u
,,100.7k,420.281u
,,100.72k,406.2741u
,,100.74k,400.0791u
,,100.76k,405.3008u
,,100.78k,410.6778u
,,100.8k,402.2447u
,,100.82k,391.6197u
,,100.84k,386.2904u
,,100.86k,377.7362u
,,100.88k,366.4328u
,,100.9k,359.7412u
,,100.92k,359.5117u
,,100.94k,362.4998u
,,100.96k,359.6429u
,,100.98k,349.391u
,,101k,349.5784u
,,101.02k,358.0104u
,,101.04k,351.8405u
,,101.06k,336.1432u
,,101.08k,326.9745u
,,101.1k,324.3101u
,,101.12k,326.8104u
,,101.14k,329.9697u
,,101.16k,320.1961u
,,101.18k,305.8559u
,,101.2k,299.2767u
,,101.22k,286.5084u
,,101.24k,270.2034u
,,101.26k,259.8442u
,,101.28k,248.4819u
,,101.3k,238.8125u
,,101.32k,239.4653u
,,101.34k,244.2775u
,,101.36k,248.8452u
,,101.38k,260.1011u
,,101.4k,271.3105u
,,101.42k,270.9174u
,,101.44k,260.6881u
,,101.46k,252.1277u
,,101.48k,246.5666u
,,101.5k,231.0259u
,,101.52k,213.2423u
,,101.54k,205.9214u
,,101.56k,200.7138u
,,101.58k,196.7768u
,,101.6k,195.1022u
,,101.62k,192.6847u
,,101.64k,190.0874u
,,101.66k,188.5798u
,,101.68k,190.173u
,,101.7k,188.5798u
,,101.72k,184.1689u
,,101.74k,188.1353u
,,101.76k,195.3861u
,,101.78k,196.5071u
,,101.8k,196.8126u
,,101.82k,199.6118u
,,101.84k,204.0254u
,,101.86k,209.8718u
,,101.88k,216.7339u
,,101.9k,229.1419u
,,101.92k,245.2767u
,,101.94k,258.6446u
,,101.96k,270.36u
,,101.98k,280.1258u
,,102k,289.0853u
,,102.02k,301.1651u
,,102.04k,319.9648u
,,102.06k,344.5341u
,,102.08k,370.0355u
,,102.1k,395.5872u
,,102.12k,419.8132u
,,102.14k,438.9023u
,,102.16k,451.4332u
,,102.18k,469.5414u
,,102.2k,504.0482u
,,102.22k,539.5905u
,,102.24k,563.1451u
,,102.26k,585.7946u
,,102.28k,617.9638u
,,102.3k,654.9084u
,,102.32k,691.632u
,,102.34k,722.8471u
,,102.36k,747.2242u
,,102.38k,773.1831u
,,102.4k,802.1975u
,,102.42k,838.9047u
,,102.44k,887.4599u
,,102.46k,936.9848u
,,102.48k,976.4324u
,,102.5k,1.003509m
,,102.52k,1.029016m
,,102.54k,1.057657m
,,102.56k,1.079813m
,,102.58k,1.098889m
,,102.6k,1.11916m
,,102.62k,1.136147m
,,102.64k,1.151205m
