"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.42k,650.4344u,100k,751.9533u
106.2k,657.4913u,100.02k,409.1036u
121.38k,795.5374u,100.04k,124.0348u
292.9k,704.621u,100.06k,460.4993u
300.94k,1.901068m,100.08k,555.3975u
306.98k,671.4379u,100.1k,568.0352u
314.54k,4.744812m,100.12k,567.7205u
323.68k,8.249711m,100.14k,567.2052u
328.24k,3.11848m,100.16k,565.4065u
334.06k,4.186477m,100.18k,565.6062u
338.68k,4.007989m,100.2k,570.4413u
342.36k,4.310127m,100.22k,570.6378u
348.1k,1.413389m,100.24k,564.497u
353.28k,1.848778m,100.26k,559.0309u
359.06k,1.603684m,100.28k,554.8798u
361.9k,2.948976m,100.3k,552.8056u
365.56k,1.469162m,100.32k,551.5149u
972.5k,581.6511u,100.34k,548.875u
,,100.36k,547.1269u
,,100.38k,543.2251u
,,100.4k,534.9625u
,,100.42k,530.3552u
,,100.44k,531.6008u
,,100.46k,532.748u
,,100.48k,529.2793u
,,100.5k,519.6979u
,,100.52k,509.665u
,,100.54k,506.3961u
,,100.56k,506.431u
,,100.58k,503.5816u
,,100.6k,501.9072u
,,100.62k,498.8386u
,,100.64k,493.7602u
,,100.66k,497.6108u
,,100.68k,504.3439u
,,100.7k,505.7648u
,,100.72k,505.8236u
,,100.74k,500.8183u
,,100.76k,484.4484u
,,100.78k,469.6625u
,,100.8k,468.0066u
,,100.82k,467.7251u
,,100.84k,459.5068u
,,100.86k,450.2262u
,,100.88k,449.9302u
,,100.9k,455.4558u
,,100.92k,455.4241u
,,100.94k,447.4567u
,,100.96k,438.8853u
,,100.98k,434.169u
,,101k,429.6414u
,,101.02k,429.7122u
,,101.04k,434.2764u
,,101.06k,431.5051u
,,101.08k,423.4201u
,,101.1k,419.3384u
,,101.12k,414.1956u
,,101.14k,398.8637u
,,101.16k,381.8695u
,,101.18k,377.0076u
,,101.2k,374.6391u
,,101.22k,360.4282u
,,101.24k,345.3392u
,,101.26k,340.7955u
,,101.28k,345.624u
,,101.3k,347.5028u
,,101.32k,337.5116u
,,101.34k,329.6297u
,,101.36k,324.7277u
,,101.38k,316.8402u
,,101.4k,308.5207u
,,101.42k,295.423u
,,101.44k,282.701u
,,101.46k,277.3309u
,,101.48k,276.755u
,,101.5k,274.2403u
,,101.52k,265.5422u
,,101.54k,255.6847u
,,101.56k,244.787u
,,101.58k,226.775u
,,101.6k,210.2174u
,,101.62k,201.5635u
,,101.64k,196.4366u
,,101.66k,191.1039u
,,101.68k,181.9557u
,,101.7k,166.702u
,,101.72k,150.6418u
,,101.74k,144.7522u
,,101.76k,141.9015u
,,101.78k,138.3795u
,,101.8k,142.3574u
,,101.82k,149.437u
,,101.84k,158.2302u
,,101.86k,172.2866u
,,101.88k,192.5478u
,,101.9k,219.0891u
,,101.92k,251.4921u
,,101.94k,283.0279u
,,101.96k,309.4417u
,,101.98k,335.3935u
,,102k,365.5707u
,,102.02k,397.6805u
,,102.04k,424.4848u
,,102.06k,445.1948u
,,102.08k,462.356u
,,102.1k,471.834u
,,102.12k,482.0235u
,,102.14k,499.9135u
,,102.16k,509.6072u
,,102.18k,514.5402u
,,102.2k,533.1289u
,,102.22k,561.3005u
,,102.24k,581.6198u
,,102.26k,590.7227u
,,102.28k,596.297u
,,102.3k,599.8276u
,,102.32k,602.1506u
,,102.34k,607.077u
,,102.36k,619.1953u
,,102.38k,635.3396u
