"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
124.66k,2.472861m,100k,716.9248u
128.94k,2.678358m,100.02k,318.5406u
140.18k,996.0547u,100.04k,309.2339u
163.34k,819.2541u,100.06k,710.6965u
168.74k,868.4688u,100.08k,825.6012u
184.98k,1.060481m,100.1k,846.0162u
188.38k,1.741401m,100.12k,853.5893u
241.02k,1.193977m,100.14k,859.8341u
243.16k,2.092995m,100.16k,860.2407u
284.06k,1.334701m,100.18k,854.4529u
286.38k,1.204869m,100.2k,849.6263u
324.66k,4.92611m,100.22k,847.9088u
343.16k,4.565957m,100.24k,845.6087u
358.9k,13.13556m,100.26k,842.5201u
360.68k,13.67959m,100.28k,842.4113u
365.56k,7.281717m,100.3k,844.5572u
971.22k,1.121677m,100.32k,843.4398u
,,100.34k,837.1559u
,,100.36k,828.66u
,,100.38k,823.5774u
,,100.4k,821.5701u
,,100.42k,817.4572u
,,100.44k,809.8614u
,,100.46k,805.173u
,,100.48k,806.8263u
,,100.5k,806.4095u
,,100.52k,801.2652u
,,100.54k,789.6249u
,,100.56k,773.1782u
,,100.58k,763.9293u
,,100.6k,763.4137u
,,100.62k,762.6871u
,,100.64k,756.0499u
,,100.66k,747.3985u
,,100.68k,743.1663u
,,100.7k,740.8968u
,,100.72k,740.5609u
,,100.74k,746.9608u
,,100.76k,751.4255u
,,100.78k,748.5344u
,,100.8k,745.2351u
,,100.82k,739.6785u
,,100.84k,726.89u
,,100.86k,707.9287u
,,100.88k,693.8136u
,,100.9k,693.7948u
,,100.92k,697.8444u
,,100.94k,703.44u
,,100.96k,709.8975u
,,100.98k,705.6074u
,,101k,693.9661u
,,101.02k,685.6542u
,,101.04k,677.8367u
,,101.06k,664.3141u
,,101.08k,651.5113u
,,101.1k,647.9667u
,,101.12k,653.8028u
,,101.14k,663.4702u
,,101.16k,669.8607u
,,101.18k,671.4316u
,,101.2k,673.016u
,,101.22k,671.7704u
,,101.24k,661.4283u
,,101.26k,651.5275u
,,101.28k,654.6232u
,,101.3k,659.9329u
,,101.32k,648.9687u
,,101.34k,632.236u
,,101.36k,628.0023u
,,101.38k,635.1893u
,,101.4k,641.54u
,,101.42k,637.4645u
,,101.44k,633.0964u
,,101.46k,638.1096u
,,101.48k,639.2559u
,,101.5k,631.5219u
,,101.52k,625.98u
,,101.54k,625.4151u
,,101.56k,627.9936u
,,101.58k,631.9718u
,,101.6k,629.5959u
,,101.62k,622.0881u
,,101.64k,623.1699u
,,101.66k,631.4157u
,,101.68k,634.2002u
,,101.7k,630.1021u
,,101.72k,625.0717u
,,101.74k,624.7445u
,,101.76k,629.5076u
,,101.78k,637.3608u
,,101.8k,644.5391u
,,101.82k,642.3942u
,,101.84k,634.2782u
,,101.86k,629.6591u
,,101.88k,630.964u
,,101.9k,640.2227u
,,101.92k,651.3733u
,,101.94k,654.3006u
,,101.96k,650.4209u
,,101.98k,647.0969u
,,102k,645.2698u
,,102.02k,647.1046u
,,102.04k,652.7018u
,,102.06k,651.376u
,,102.08k,647.3918u
,,102.1k,650.8093u
,,102.12k,656.5126u
,,102.14k,657.9116u
,,102.16k,653.2828u
,,102.18k,651.7355u
,,102.2k,662.1117u
,,102.22k,677.1836u
,,102.24k,685.6335u
,,102.26k,677.1977u
,,102.28k,665.822u
,,102.3k,675.1771u
,,102.32k,688.7016u
,,102.34k,687.6474u
,,102.36k,681.2419u
,,102.38k,686.7547u
,,102.4k,707.3417u
,,102.42k,720.6684u
,,102.44k,718.0206u
,,102.46k,712.5487u
,,102.48k,708.0026u
,,102.5k,704.6127u
,,102.52k,705.1899u
,,102.54k,706.5314u
,,102.56k,704.0673u
,,102.58k,702.8176u
,,102.6k,707.3852u
,,102.62k,708.9658u
,,102.64k,703.511u
,,102.66k,696.7215u
,,102.68k,692.9549u
,,102.7k,693.2738u
,,102.72k,691.9582u
,,102.74k,683.4881u
,,102.76k,674.5946u
,,102.78k,668.9915u
,,102.8k,662.4921u
,,102.82k,660.4963u
,,102.84k,666.3799u
,,102.86k,672.6715u
,,102.88k,669.569u
,,102.9k,651.8753u
,,102.92k,631.2051u
,,102.94k,622.4857u
,,102.96k,623.9455u
,,102.98k,628.5654u
,,103k,637.0493u
,,103.02k,638.6866u
,,103.04k,623.1666u
,,103.06k,602.9489u
,,103.08k,592.3507u
,,103.1k,596.5385u
,,103.12k,607.5384u
,,103.14k,609.7648u
,,103.16k,603.745u
,,103.18k,597.1893u
,,103.2k,588.8543u
,,103.22k,580.948u
,,103.24k,578.8062u
,,103.26k,579.0832u
,,103.28k,580.2765u
,,103.3k,585.6929u
,,103.32k,586.4023u
,,103.34k,580.4917u
,,103.36k,576.8829u
,,103.38k,568.7904u
,,103.4k,556.0089u
,,103.42k,551.8486u
,,103.44k,556.5233u
,,103.46k,559.7978u
,,103.48k,558.9484u
,,103.5k,562.3207u
,,103.52k,571.0207u
,,103.54k,575.1752u
,,103.56k,574.8318u
,,103.58k,569.2416u
,,103.6k,554.9276u
,,103.62k,541.7394u
,,103.64k,539.3854u
,,103.66k,549.4479u
,,103.68k,563.0363u
,,103.7k,564.384u
,,103.72k,556.2214u
,,103.74k,553.3099u
,,103.76k,550.8943u
,,103.78k,544.1954u
,,103.8k,540.3505u
,,103.82k,539.1531u
,,103.84k,542.5655u
,,103.86k,552.5531u
,,103.88k,557.2913u
,,103.9k,549.9681u
,,103.92k,545.9532u
,,103.94k,549.4362u
,,103.96k,543.6135u
,,103.98k,529.5104u
,,104k,521.8578u
,,104.02k,526.4614u
,,104.04k,538.1377u
,,104.06k,545.1478u
,,104.08k,539.9294u
,,104.1k,533.4143u
,,104.12k,537.3439u
,,104.14k,536.9033u
,,104.16k,526.6458u
,,104.18k,522.7463u
,,104.2k,524.3078u
,,104.22k,525.5909u
,,104.24k,531.1144u
,,104.26k,537.3359u
,,104.28k,540.7188u
,,104.3k,540.4592u
,,104.32k,537.751u
,,104.34k,538.4894u
,,104.36k,540.2613u
,,104.38k,540.4224u
,,104.4k,541.527u
,,104.42k,537.8889u
,,104.44k,532.7178u
,,104.46k,538.134u
,,104.48k,543.3684u
,,104.5k,542.8003u
,,104.52k,544.1057u
,,104.54k,538.0383u
,,104.56k,524.9699u
,,104.58k,518.3659u
,,104.6k,516.9792u
,,104.62k,518.5836u
,,104.64k,528.6844u
,,104.66k,539.8788u
,,104.68k,535.7732u
,,104.7k,526.0294u
,,104.72k,526.4531u
,,104.74k,528.6288u
,,104.76k,528.092u
,,104.78k,529.3073u
,,104.8k,535.5821u
,,104.82k,540.9477u
,,104.84k,539.0663u
,,104.86k,535.0183u
,,104.88k,532.5831u
,,104.9k,539.5032u
,,104.92k,555.3915u
,,104.94k,567.9062u
,,104.96k,574.4984u
,,104.98k,574.1662u
,,105k,564.8827u
,,105.02k,552.6491u
,,105.04k,546.3756u
,,105.06k,550.1067u
,,105.08k,554.2382u
,,105.1k,555.5635u
,,105.12k,561.3571u
,,105.14k,566.4667u
,,105.16k,568.5629u
,,105.18k,569.9699u
,,105.2k,571.5981u
,,105.22k,577.5443u
,,105.24k,584.8655u
,,105.26k,592.1833u
,,105.28k,594.9414u
,,105.3k,586.839u
,,105.32k,579.1836u
,,105.34k,579.205u
,,105.36k,584.3288u
,,105.38k,595.9643u
,,105.4k,608.8202u
,,105.42k,614.8819u
,,105.44k,613.3192u
,,105.46k,609.5225u
,,105.48k,609.4322u
,,105.5k,615.9503u
,,105.52k,627.328u
,,105.54k,633.7097u
,,105.56k,633.8084u
,,105.58k,635.665u
,,105.6k,638.899u
,,105.62k,640.9173u
,,105.64k,646.6042u
,,105.66k,657.0978u
,,105.68k,660.3051u
,,105.7k,657.9371u
,,105.72k,661.6532u
,,105.74k,668.0969u
,,105.76k,672.4738u
,,105.78k,679.6869u
,,105.8k,693.282u
,,105.82k,704.8305u
,,105.84k,707.8843u
,,105.86k,709.0017u
,,105.88k,714.7433u
,,105.9k,725.417u
,,105.92k,738.1771u
,,105.94k,743.9834u
,,105.96k,740.8421u
,,105.98k,735.2349u
,,106k,734.5066u
,,106.02k,742.6124u
,,106.04k,745.4215u
,,106.06k,741.2352u
,,106.08k,743.366u
,,106.1k,747.6234u
,,106.12k,743.8257u
,,106.14k,731.3731u
,,106.16k,723.4667u
,,106.18k,726.5612u
,,106.2k,729.0265u
,,106.22k,728.4287u
,,106.24k,728.6249u
,,106.26k,721.1314u
,,106.28k,704.4141u
,,106.3k,688.7779u
,,106.32k,678.29u
,,106.34k,668.3481u
,,106.36k,655.0644u
,,106.38k,642.6483u
,,106.4k,630.9424u
,,106.42k,618.9209u
,,106.44k,611.176u
,,106.46k,604.528u
,,106.48k,593.6448u
,,106.5k,577.3776u
,,106.52k,557.5324u
,,106.54k,545.1045u
,,106.56k,541.6919u
,,106.58k,530.8027u
,,106.6k,513.1661u
,,106.62k,503.6888u
,,106.64k,501.7304u
,,106.66k,499.8763u
,,106.68k,496.5125u
,,106.7k,487.2259u
,,106.72k,467.9271u
,,106.74k,444.6939u
,,106.76k,430.867u
,,106.78k,427.8112u
,,106.8k,419.4277u
,,106.82k,406.2316u
,,106.84k,399.9092u
,,106.86k,396.524u
,,106.88k,392.5392u
,,106.9k,392.316u
,,106.92k,393.5802u
,,106.94k,391.5745u
,,106.96k,387.4811u
,,106.98k,380.9159u
,,107k,372.8549u
,,107.02k,368.0693u
,,107.04k,364.2362u
,,107.06k,359.596u
,,107.08k,353.6047u
,,107.1k,346.1694u
,,107.12k,342.3973u
,,107.14k,336.8766u
,,107.16k,332.3135u
,,107.18k,337.1057u
,,107.2k,345.6464u
,,107.22k,350.3967u
,,107.24k,344.7753u
,,107.26k,331.3543u
,,107.28k,321.02u
,,107.3k,318.9766u
,,107.32k,320.005u
,,107.34k,317.8452u
,,107.36k,314.8849u
,,107.38k,313.243u
,,107.4k,311.5478u
,,107.42k,309.7181u
,,107.44k,308.3567u
,,107.46k,307.4655u
,,107.48k,303.8479u
,,107.5k,298.0577u
,,107.52k,292.7281u
,,107.54k,287.0847u
,,107.56k,283.8708u
,,107.58k,281.8541u
,,107.6k,278.2028u
,,107.62k,278.9424u
,,107.64k,283.0832u
,,107.66k,284.0182u
,,107.68k,284.9806u
,,107.7k,286.9951u
,,107.72k,280.6885u
,,107.74k,267.9941u
,,107.76k,261.5601u
