"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
923.12k,3.120324m,500k,380.7001u
966.56k,2.338301m,500.06k,253.8354u
1.09706M,885.6811u,500.12k,274.0634u
,,500.18k,405.0867u
,,500.24k,403.4399u
,,500.3k,398.9594u
,,500.36k,404.9469u
,,500.42k,401.0851u
,,500.48k,392.7169u
,,500.54k,392.0294u
,,500.6k,400.467u
,,500.66k,399.2167u
,,500.72k,382.0709u
,,500.78k,381.9219u
,,500.84k,385.955u
,,500.9k,383.0606u
,,500.96k,373.8114u
,,501.02k,374.7184u
,,501.08k,376.4949u
,,501.14k,371.5265u
,,501.2k,371.0032u
,,501.26k,376.5104u
,,501.32k,368.8095u
,,501.38k,361.2788u
,,501.44k,361.1894u
,,501.5k,360.2702u
,,501.56k,364.5772u
,,501.62k,357.6249u
,,501.68k,351.3395u
,,501.74k,358.4217u
,,501.8k,354.4923u
,,501.86k,352.6478u
,,501.92k,344.4114u
,,501.98k,339.6507u
,,502.04k,345.7129u
,,502.1k,336.5971u
,,502.16k,328.8961u
,,502.22k,331.2381u
,,502.28k,335.035u
,,502.34k,334.4429u
,,502.4k,329.7576u
,,502.46k,333.7033u
,,502.52k,338.6746u
,,502.58k,333.2352u
,,502.64k,328.4051u
,,502.7k,327.8268u
,,502.76k,325.9324u
,,502.82k,328.2898u
,,502.88k,326.924u
,,502.94k,314.4355u
,,503k,309.3857u
,,503.06k,306.4436u
,,503.12k,306.1855u
,,503.18k,305.8663u
,,503.24k,302.3499u
,,503.3k,299.6193u
,,503.36k,305.5911u
,,503.42k,298.7736u
,,503.48k,303.7759u
,,503.54k,302.0553u
,,503.6k,292.8481u
,,503.66k,292.1338u
,,503.72k,298.6486u
,,503.78k,296.5916u
,,503.84k,296.9528u
,,503.9k,298.009u
,,503.96k,286.2873u
,,504.02k,278.4346u
,,504.08k,282.826u
,,504.14k,282.3848u
,,504.2k,277.394u
,,504.26k,273.9268u
,,504.32k,273.1897u
,,504.38k,274.1707u
,,504.44k,274.0949u
,,504.5k,273.4414u
,,504.56k,275.0505u
,,504.62k,271.4386u
,,504.68k,268.9392u
,,504.74k,259.881u
,,504.8k,265.7361u
,,504.86k,263.7189u
,,504.92k,269.0937u
,,504.98k,265.7136u
,,505.04k,264.7413u
,,505.1k,263.9844u
,,505.16k,253.4336u
,,505.22k,259.3928u
,,505.28k,265.5031u
,,505.34k,261.5808u
,,505.4k,248.5422u
,,505.46k,247.1654u
,,505.52k,248.1436u
,,505.58k,254.4812u
,,505.64k,249.0757u
,,505.7k,238.4862u
,,505.76k,239.4419u
,,505.82k,239.029u
,,505.88k,242.6748u
,,505.94k,241.3789u
,,506k,232.1531u
,,506.06k,233.5338u
,,506.12k,232.3299u
,,506.18k,234.6204u
,,506.24k,232.3801u
,,506.3k,231.8197u
,,506.36k,232.7393u
,,506.42k,225.7651u
,,506.48k,223.152u
,,506.54k,224.8629u
,,506.6k,217.8021u
,,506.66k,217.1025u
,,506.72k,223.1055u
,,506.78k,222.0744u
,,506.84k,225.4118u
,,506.9k,220.743u
,,506.96k,217.0616u
,,507.02k,216.0247u
,,507.08k,208.6595u
,,507.14k,207.2013u
,,507.2k,210.1634u
,,507.26k,211.0224u
,,507.32k,209.726u
,,507.38k,204.5007u
,,507.44k,200.2062u
,,507.5k,205.7635u
,,507.56k,206.9442u
,,507.62k,202.237u
,,507.68k,200.4978u
,,507.74k,209.5177u
,,507.8k,206.5629u
,,507.86k,203.7259u
,,507.92k,203.4028u
,,507.98k,209.0485u
,,508.04k,199.0496u
,,508.1k,200.7086u
,,508.16k,194.6619u
,,508.22k,192.6392u
,,508.28k,194.8798u
,,508.34k,197.925u
,,508.4k,188.33u
,,508.46k,194.7446u
,,508.52k,184.7922u
,,508.58k,182.1646u
,,508.64k,190.8066u
,,508.7k,189.9083u
,,508.76k,187.3226u
,,508.82k,187.2078u
,,508.88k,171.4107u
,,508.94k,175.3968u
,,509k,176.8822u
,,509.06k,183.4725u
,,509.12k,179.5298u
,,509.18k,176.7097u
,,509.24k,176.7781u
,,509.3k,176.2521u
,,509.36k,169.8392u
,,509.42k,170.7948u
,,509.48k,169.8677u
,,509.54k,172.4618u
,,509.6k,177.7091u
,,509.66k,175.932u
,,509.72k,168.2852u
,,509.78k,171.7515u
,,509.84k,171.3031u
,,509.9k,161.3771u
,,509.96k,157.1348u
,,510.02k,156.6155u
,,510.08k,155.7707u
,,510.14k,156.5702u
,,510.2k,150.0751u
,,510.26k,151.6024u
,,510.32k,149.3098u
,,510.38k,150.8447u
,,510.44k,151.5909u
,,510.5k,154.8694u
,,510.56k,156.7906u
,,510.62k,150.3888u
,,510.68k,143.4618u
,,510.74k,154.1043u
,,510.8k,150.4834u
,,510.86k,150.069u
,,510.92k,144.5414u
,,510.98k,147.0798u
,,511.04k,149.5222u
,,511.1k,141.8768u
,,511.16k,142.6679u
,,511.22k,136.5167u
,,511.28k,139.2474u
,,511.34k,141.3846u
,,511.4k,136.7051u
,,511.46k,150.882u
,,511.52k,144.3426u
,,511.58k,135.9948u
,,511.64k,134.1338u
,,511.7k,136.35u
,,511.76k,135.7803u
,,511.82k,123.4614u
,,511.88k,126.5083u
,,511.94k,123.2874u
,,512k,130.7153u
,,512.06k,125.4005u
,,512.12k,128.1036u
,,512.18k,127.4113u
,,512.24k,113.8555u
,,512.3k,110.8124u
,,512.36k,114.404u
,,512.42k,120.5866u
,,512.48k,115.7575u
,,512.54k,119.7678u
,,512.6k,118.2615u
,,512.66k,114.944u
