"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
925.22k,763.9913u,500k,222.3986u
932.66k,1.252259m,500.06k,149.63u
954.5k,525.8156u,500.12k,156.4589u
955.04k,529.1181u,500.18k,232.7935u
968.36k,484.1348u,500.24k,236.7607u
,,500.3k,240.4088u
,,500.36k,231.9142u
,,500.42k,229.6674u
,,500.48k,225.4026u
,,500.54k,223.5744u
,,500.6k,225.7711u
,,500.66k,227.3687u
,,500.72k,224.81u
,,500.78k,215.3237u
,,500.84k,214.6386u
,,500.9k,223.6236u
,,500.96k,216.7525u
,,501.02k,218.524u
,,501.08k,216.3508u
,,501.14k,214.586u
,,501.2k,208.4838u
,,501.26k,213.2603u
,,501.32k,206.6625u
,,501.38k,203.3555u
,,501.44k,197.0574u
,,501.5k,191.8984u
,,501.56k,199.7263u
,,501.62k,199.2459u
,,501.68k,192.1096u
,,501.74k,192.4096u
,,501.8k,193.0643u
,,501.86k,188.4644u
,,501.92k,188.08u
,,501.98k,197.012u
,,502.04k,193.1462u
,,502.1k,191.4669u
,,502.16k,192.5276u
,,502.22k,183.6774u
,,502.28k,184.7397u
,,502.34k,186.8818u
,,502.4k,178.962u
,,502.46k,176.0412u
,,502.52k,179.0093u
,,502.58k,175.6364u
,,502.64k,171.9191u
,,502.7k,171.8468u
,,502.76k,169.3167u
,,502.82k,170.6371u
,,502.88k,176.1286u
,,502.94k,169.2817u
,,503k,166.8888u
,,503.06k,173.7876u
,,503.12k,161.701u
,,503.18k,161.6992u
,,503.24k,165.2506u
,,503.3k,165.7753u
,,503.36k,165.6051u
,,503.42k,160.3914u
,,503.48k,151.9141u
,,503.54k,152.9485u
,,503.6k,150.9247u
,,503.66k,151.4115u
,,503.72k,160.4139u
,,503.78k,161.2804u
,,503.84k,155.4372u
,,503.9k,153.9113u
,,503.96k,155.9414u
,,504.02k,149.7472u
,,504.08k,149.2289u
,,504.14k,145.6845u
,,504.2k,151.1036u
,,504.26k,143.4719u
,,504.32k,144.5131u
,,504.38k,141.4871u
,,504.44k,143.8143u
,,504.5k,152.0395u
,,504.56k,149.5139u
,,504.62k,138.8321u
,,504.68k,133.0362u
,,504.74k,134.9776u
,,504.8k,139.6869u
,,504.86k,134.5805u
,,504.92k,135.6488u
,,504.98k,130.4729u
,,505.04k,133.2613u
,,505.1k,135.6671u
,,505.16k,132.6764u
,,505.22k,128.9488u
,,505.28k,124.807u
,,505.34k,126.3191u
,,505.4k,124.2865u
,,505.46k,139.1115u
,,505.52k,129.0438u
,,505.58k,119.2949u
,,505.64k,122.117u
,,505.7k,125.0997u
,,505.76k,123.5207u
,,505.82k,123.0121u
,,505.88k,123.1052u
,,505.94k,122.472u
,,506k,116.3476u
,,506.06k,117.2987u
